Date,Low,Open,Volume,High,Close,Adjusted Close
13-05-1992,13.875,14.125,9338300,14.25,14.0,10.206357955932617
14-05-1992,13.5,14.125,3385900,14.125,14.0,10.206357955932617
15-05-1992,14.0,14.125,348900,14.5,14.5,10.570869445800781
18-05-1992,14.25,14.5,195400,14.5,14.5,10.570869445800781
19-05-1992,14.125,14.5,252600,14.5,14.25,10.3886137008667
20-05-1992,14.25,14.25,233400,14.75,14.5,10.570869445800781
21-05-1992,14.5,14.625,238500,14.75,14.625,10.661994934082031
22-05-1992,14.375,14.75,202300,14.75,14.5,10.570869445800781
26-05-1992,14.5,14.5,126900,14.75,14.5,10.570869445800781
27-05-1992,14.125,14.625,131000,14.625,14.5,10.570869445800781
28-05-1992,14.125,14.125,40300,14.5,14.125,10.297486305236816
29-05-1992,14.125,14.375,298300,14.375,14.375,10.479742050170898
01-06-1992,14.25,14.25,220500,14.5,14.5,10.570869445800781
02-06-1992,14.25,14.5,184200,14.5,14.25,10.3886137008667
03-06-1992,13.75,14.25,83100,14.25,13.75,10.024101257324219
04-06-1992,13.625,13.875,92600,13.875,13.875,10.115233421325684
05-06-1992,13.625,13.625,37800,14.125,14.125,10.297486305236816
08-06-1992,14.125,14.125,119300,14.875,14.875,10.844256401062012
09-06-1992,13.875,14.75,209600,14.875,14.0,10.206357955932617
10-06-1992,13.875,14.25,31100,14.25,13.875,10.115233421325684
11-06-1992,13.375,13.75,105700,13.875,13.5,9.84184455871582
12-06-1992,13.375,13.75,75100,13.75,13.375,9.75071907043457
15-06-1992,13.25,13.375,24300,13.625,13.25,9.659587860107422
16-06-1992,11.875,13.375,98100,13.375,12.0,8.748309135437012
17-06-1992,11.875,12.25,211700,12.25,12.0,8.748309135437012
18-06-1992,11.875,12.0,320100,12.125,11.875,8.657179832458496
19-06-1992,10.5,12.0,629300,12.0,10.625,7.745894908905029
22-06-1992,10.25,10.5,317100,10.625,10.5,7.6547675132751465
23-06-1992,10.25,10.5,748600,10.625,10.25,7.4725117683410645
24-06-1992,9.875,10.25,619300,10.5,10.0,7.290258884429932
25-06-1992,8.875,10.0,1871600,10.0,9.375,6.834616661071777
26-06-1992,9.375,9.5,297100,10.0,10.0,7.290258884429932
29-06-1992,9.875,9.875,1197700,11.0,11.0,8.019281387329102
30-06-1992,11.0,11.25,448600,11.625,11.625,8.474920272827148
01-07-1992,11.375,11.625,332000,12.125,12.0,8.748309135437012
02-07-1992,11.625,12.0,32900,12.0,11.75,8.566048622131348
