Date,Low,Open,Volume,High,Close,Adjusted Close
09-07-1992,41.25,43.125,1100.0,43.125,41.25,41.25
10-07-1992,41.25,43.125,500.0,43.125,41.25,41.25
13-07-1992,41.25,43.125,1800.0,43.125,41.25,41.25
14-07-1992,41.25,41.25,0.0,41.25,41.25,41.25
15-07-1992,41.25,41.25,0.0,41.25,41.25,41.25
16-07-1992,41.25,43.125,200.0,43.125,41.25,41.25
17-07-1992,41.25,41.25,300.0,43.125,41.25,41.25
20-07-1992,41.25,43.125,600.0,43.125,41.25,41.25
21-07-1992,41.25,41.25,0.0,41.25,41.25,41.25
22-07-1992,43.125,43.125,200.0,43.125,43.125,43.125
23-07-1992,41.25,41.25,700.0,43.125,43.125,43.125
24-07-1992,41.25,41.25,1900.0,43.125,43.125,43.125
27-07-1992,41.25,41.25,0.0,41.25,41.25,41.25
28-07-1992,41.25,41.25,0.0,41.25,41.25,41.25
29-07-1992,41.25,41.25,300.0,41.25,41.25,41.25
30-07-1992,41.25,41.25,0.0,43.125,43.125,43.125
31-07-1992,41.25,41.25,300.0,41.25,41.25,41.25
03-08-1992,43.125,43.125,0.0,43.125,43.125,43.125
04-08-1992,41.25,42.1875,400.0,43.125,41.25,41.25
05-08-1992,41.25,43.125,1100.0,43.125,43.125,43.125
06-08-1992,41.25,41.25,0.0,41.25,41.25,41.25
07-08-1992,43.125,43.125,300.0,43.125,43.125,43.125
10-08-1992,43.125,43.125,0.0,43.125,43.125,43.125
11-08-1992,41.25,43.125,0.0,43.125,41.25,41.25
12-08-1992,41.25,43.125,300.0,43.125,41.25,41.25
13-08-1992,41.25,43.125,600.0,43.125,43.125,43.125
14-08-1992,41.25,43.125,1500.0,43.125,41.25,41.25
17-08-1992,40.3125,40.3125,700.0,43.125,43.125,43.125
18-08-1992,40.3125,40.3125,600.0,43.125,43.125,43.125
19-08-1992,39.375,43.125,300.0,43.125,43.125,43.125
20-08-1992,39.375,39.375,1100.0,43.125,39.375,39.375
21-08-1992,43.125,43.125,100.0,43.125,43.125,43.125
24-08-1992,43.125,43.125,200.0,43.125,43.125,43.125
25-08-1992,43.125,43.125,0.0,43.125,43.125,43.125
26-08-1992,38.4375,43.125,500.0,43.125,43.125,43.125
27-08-1992,43.125,43.125,400.0,43.125,43.125,43.125
28-08-1992,39.375,39.375,0.0,43.125,43.125,43.125
31-08-1992,38.4375,43.125,1200.0,43.125,43.125,43.125
01-09-1992,39.375,43.125,400.0,43.125,43.125,43.125
02-09-1992,39.375,39.375,900.0,43.125,43.125,43.125
03-09-1992,40.3125,43.125,1600.0,43.125,41.25,41.25
04-09-1992,41.25,43.125,900.0,43.125,43.125,43.125
08-09-1992,43.125,43.125,1800.0,46.875,44.0625,44.0625
09-09-1992,44.0625,46.875,3400.0,46.875,46.875,46.875
10-09-1992,44.0625,44.0625,2000.0,48.75,45.0,45.0
11-09-1992,45.0,48.75,3100.0,50.625,45.0,45.0
14-09-1992,45.0,50.625,1400.0,50.625,48.75,48.75
15-09-1992,45.0,48.75,1300.0,50.625,50.625,50.625
16-09-1992,45.0,50.625,1000.0,50.625,45.0,45.0
17-09-1992,45.0,50.625,3000.0,50.625,45.0,45.0
18-09-1992,45.0,48.75,1800.0,48.75,48.75,48.75
21-09-1992,45.0,48.75,700.0,48.75,48.75,48.75
22-09-1992,45.0,48.75,700.0,48.75,48.75,48.75
23-09-1992,48.75,48.75,0.0,48.75,48.75,48.75
24-09-1992,45.0,48.75,2000.0,48.75,45.0,45.0
25-09-1992,45.9375,45.9375,5200.0,48.75,48.75,48.75
28-09-1992,46.875,46.875,6800.0,52.5,52.5,52.5
29-09-1992,48.75,52.5,4200.0,52.5,48.75,48.75
30-09-1992,48.75,52.5,5300.0,52.5,48.75,48.75
01-10-1992,48.75,48.75,1900.0,52.5,52.5,52.5
02-10-1992,48.75,52.5,1900.0,52.5,52.5,52.5
05-10-1992,48.75,52.5,600.0,52.5,52.5,52.5
06-10-1992,46.875,52.5,600.0,52.5,50.625,50.625
07-10-1992,46.875,46.875,300.0,52.5,50.625,50.625
08-10-1992,46.875,50.625,700.0,50.625,48.75,48.75
09-10-1992,46.875,50.625,2000.0,50.625,46.875,46.875
12-10-1992,46.875,46.875,500.0,50.625,48.75,48.75
13-10-1992,46.875,50.625,1000.0,50.625,50.625,50.625
14-10-1992,46.875,50.625,2000.0,50.625,46.875,46.875
15-10-1992,46.875,50.625,800.0,50.625,46.875,46.875
16-10-1992,46.875,46.875,2000.0,50.625,46.875,46.875
19-10-1992,50.625,50.625,100.0,50.625,50.625,50.625
20-10-1992,46.875,46.875,700.0,50.625,46.875,46.875
21-10-1992,46.875,50.625,2000.0,50.625,50.625,50.625
22-10-1992,45.0,50.625,1800.0,50.625,50.625,50.625
23-10-1992,45.0,48.75,1300.0,48.75,45.0,45.0
26-10-1992,45.0,47.8125,2100.0,48.75,45.0,45.0
27-10-1992,45.0,45.0,200.0,48.75,48.75,48.75
28-10-1992,45.0,45.0,200.0,45.0,45.0,45.0
29-10-1992,45.0,48.75,400.0,48.75,45.0,45.0
30-10-1992,41.25,48.75,3200.0,48.75,43.125,43.125
02-11-1992,42.1875,43.125,500.0,45.9375,42.1875,42.1875
03-11-1992,41.25,45.9375,400.0,45.9375,41.25,41.25
04-11-1992,42.1875,42.1875,500.0,45.9375,43.125,43.125
05-11-1992,41.25,45.0,100.0,45.0,41.25,41.25
06-11-1992,41.25,41.25,500.0,45.0,41.25,41.25
09-11-1992,37.5,42.1875,1800.0,43.125,37.5,37.5
10-11-1992,35.625,37.5,1100.0,38.4375,35.625,35.625
11-11-1992,34.6875,34.6875,2800.0,39.375,39.375,39.375
12-11-1992,38.4375,39.375,2200.0,43.125,40.3125,40.3125
13-11-1992,40.3125,45.0,500.0,45.0,40.3125,40.3125
16-11-1992,40.3125,40.3125,300.0,40.3125,40.3125,40.3125
17-11-1992,40.3125,40.3125,1100.0,43.125,40.3125,40.3125
18-11-1992,37.5,40.3125,700.0,40.3125,37.5,37.5
19-11-1992,38.4375,39.375,1400.0,41.25,38.4375,38.4375
20-11-1992,38.4375,41.25,1000.0,41.25,38.4375,38.4375
23-11-1992,38.4375,38.4375,1100.0,41.25,38.4375,38.4375
24-11-1992,37.5,38.4375,200.0,40.3125,37.5,37.5
25-11-1992,36.5625,37.5,200.0,37.5,36.5625,36.5625
27-11-1992,36.5625,36.5625,0.0,36.5625,36.5625,36.5625
30-11-1992,36.5625,40.3125,1100.0,40.3125,36.5625,36.5625
01-12-1992,36.5625,40.3125,400.0,40.3125,36.5625,36.5625
02-12-1992,35.625,35.625,3600.0,39.375,38.4375,38.4375
03-12-1992,35.625,38.4375,600.0,38.4375,35.625,35.625
04-12-1992,35.625,35.625,1500.0,37.5,37.5,37.5
07-12-1992,35.625,36.5625,300.0,36.5625,35.625,35.625
08-12-1992,34.6875,35.625,600.0,41.25,34.6875,34.6875
09-12-1992,33.75,39.375,900.0,39.375,33.75,33.75
10-12-1992,33.75,39.375,700.0,39.375,35.625,35.625
11-12-1992,32.8125,33.75,500.0,37.5,37.5,37.5
14-12-1992,31.875,31.875,700.0,37.5,37.5,37.5
15-12-1992,33.75,37.5,100.0,37.5,33.75,33.75
16-12-1992,32.8125,32.8125,100.0,32.8125,32.8125,32.8125
17-12-1992,32.8125,32.8125,1900.0,37.5,34.6875,34.6875
18-12-1992,33.75,33.75,500.0,37.5,37.5,37.5
21-12-1992,33.75,33.75,500.0,37.5,33.75,33.75
22-12-1992,33.75,33.75,1400.0,37.5,35.625,35.625
23-12-1992,35.625,35.625,200.0,37.5,35.625,35.625
24-12-1992,33.75,34.6875,2400.0,37.5,37.5,37.5
28-12-1992,33.75,37.5,500.0,37.5,33.75,33.75
29-12-1992,33.75,36.5625,800.0,36.5625,33.75,33.75
30-12-1992,33.75,33.75,700.0,37.5,37.5,37.5
31-12-1992,33.75,37.5,300.0,37.5,37.5,37.5
