Date,Low,Open,Volume,High,Close,Adjusted Close
10-08-1993,1.46875,1.75,332400.0,1.875,1.75,1.75
11-08-1993,1.5,1.6875,1454400.0,1.9375,1.9375,1.9375
12-08-1993,1.75,1.9375,289200.0,1.9375,1.9375,1.9375
13-08-1993,1.6875,1.9375,190800.0,1.9375,1.6875,1.6875
16-08-1993,1.6875,1.875,183600.0,1.875,1.6875,1.6875
17-08-1993,1.375,1.6875,468000.0,1.8125,1.8125,1.8125
18-08-1993,1.59375,1.59375,228000.0,1.8125,1.8125,1.8125
19-08-1993,1.625,1.8125,120000.0,1.8125,1.8125,1.8125
20-08-1993,1.625,1.625,378000.0,1.8125,1.625,1.625
23-08-1993,1.625,1.625,187200.0,1.8125,1.6875,1.6875
24-08-1993,1.625,1.625,344400.0,1.75,1.71875,1.71875
25-08-1993,1.59375,1.625,319200.0,1.6875,1.59375,1.59375
26-08-1993,1.59375,1.65625,326400.0,1.75,1.625,1.625
27-08-1993,1.625,1.71875,85200.0,1.71875,1.625,1.625
30-08-1993,1.625,1.625,116400.0,1.71875,1.625,1.625
31-08-1993,1.625,1.625,330000.0,1.71875,1.71875,1.71875
01-09-1993,1.6171875,1.625,240000.0,1.75,1.625,1.625
02-09-1993,1.59375,1.625,126000.0,1.75,1.6875,1.6875
03-09-1993,1.59375,1.59375,19200.0,1.6875,1.6875,1.6875
07-09-1993,1.59375,1.6875,168000.0,1.6875,1.6875,1.6875
08-09-1993,1.5,1.59375,105600.0,1.65625,1.625,1.625
09-09-1993,1.5,1.5,123600.0,1.625,1.625,1.625
10-09-1993,1.5,1.5,63600.0,1.625,1.625,1.625
13-09-1993,1.5,1.5,200400.0,1.625,1.625,1.625
14-09-1993,1.5,1.5,98400.0,1.625,1.625,1.625
15-09-1993,1.5,1.5,106800.0,1.625,1.5,1.5
16-09-1993,1.5,1.5,90000.0,1.625,1.5625,1.5625
17-09-1993,1.46875,1.5,102000.0,1.5625,1.46875,1.46875
20-09-1993,1.46875,1.46875,314400.0,1.6875,1.6875,1.6875
21-09-1993,1.53125,1.6875,90000.0,1.75,1.53125,1.53125
22-09-1993,1.53125,1.53125,102000.0,1.75,1.65625,1.65625
23-09-1993,1.53125,1.53125,91200.0,1.75,1.53125,1.53125
24-09-1993,1.53125,1.53125,108000.0,1.6875,1.6875,1.6875
27-09-1993,1.53125,1.625,85200.0,1.6875,1.625,1.625
28-09-1993,1.53125,1.53125,114000.0,1.65625,1.53125,1.53125
29-09-1993,1.53125,1.53125,205200.0,1.65625,1.65625,1.65625
30-09-1993,1.53125,1.53125,421200.0,1.8125,1.8125,1.8125
01-10-1993,1.625,1.625,120000.0,1.8125,1.8125,1.8125
04-10-1993,1.625,1.625,82800.0,1.78125,1.625,1.625
05-10-1993,1.625,1.78125,92400.0,1.78125,1.625,1.625
06-10-1993,1.625,1.78125,96000.0,1.78125,1.75,1.75
07-10-1993,1.59375,1.78125,188400.0,1.78125,1.78125,1.78125
08-10-1993,1.53125,1.59375,163200.0,1.78125,1.59375,1.59375
11-10-1993,1.59375,1.78125,45600.0,1.78125,1.78125,1.78125
12-10-1993,1.59375,1.78125,146400.0,1.78125,1.59375,1.59375
13-10-1993,1.59375,1.59375,92400.0,1.78125,1.59375,1.59375
14-10-1993,1.59375,1.59375,123600.0,1.78125,1.59375,1.59375
15-10-1993,1.59375,1.78125,88800.0,1.78125,1.78125,1.78125
18-10-1993,1.59375,1.59375,27600.0,1.78125,1.59375,1.59375
19-10-1993,1.59375,1.59375,78000.0,1.78125,1.78125,1.78125
20-10-1993,1.59375,1.59375,46800.0,1.78125,1.59375,1.59375
21-10-1993,1.59375,1.59375,66000.0,1.78125,1.78125,1.78125
22-10-1993,1.59375,1.59375,80400.0,1.78125,1.78125,1.78125
25-10-1993,1.59375,1.59375,85200.0,1.78125,1.65625,1.65625
