Date,Low,Open,Volume,High,Close,Adjusted Close
03-01-1989,1.75,1.75,13700.0,1.875,1.75,1.75
04-01-1989,1.875,1.875,16600.0,2.0,1.875,1.875
05-01-1989,2.0,2.0,3000.0,2.0625,2.0,2.0
06-01-1989,2.1875,2.1875,40000.0,2.3125,2.1875,2.1875
09-01-1989,2.25,2.25,13700.0,2.375,2.25,2.25
10-01-1989,2.4375,2.4375,37400.0,2.5625,2.4375,2.4375
11-01-1989,2.3125,2.4375,26600.0,2.4375,2.3125,2.3125
12-01-1989,2.3125,2.3125,14500.0,2.375,2.3125,2.3125
13-01-1989,2.3125,2.3125,21300.0,2.375,2.3125,2.3125
16-01-1989,2.3125,2.3125,7900.0,2.375,2.3125,2.3125
17-01-1989,2.125,2.25,15000.0,2.25,2.125,2.125
18-01-1989,2.125,2.125,4700.0,2.1875,2.125,2.125
19-01-1989,1.8125,2.0,20500.0,2.0,1.8125,1.8125
20-01-1989,1.8125,1.8125,6000.0,1.9375,1.8125,1.8125
23-01-1989,1.8125,1.8125,5000.0,1.9375,1.8125,1.8125
24-01-1989,1.875,1.875,12000.0,2.0,1.875,1.875
25-01-1989,2.125,2.125,36400.0,2.375,2.125,2.125
26-01-1989,2.125,2.125,37300.0,2.375,2.125,2.125
27-01-1989,2.125,2.125,6500.0,2.3125,2.125,2.125
30-01-1989,2.125,2.125,14800.0,2.25,2.125,2.125
31-01-1989,2.125,2.125,1500.0,2.1875,2.125,2.125
01-02-1989,2.125,2.125,22600.0,2.25,2.125,2.125
02-02-1989,1.9375,2.125,15900.0,2.125,1.9375,1.9375
03-02-1989,1.9375,1.9375,5000.0,2.0,1.9375,1.9375
06-02-1989,1.9375,1.9375,20500.0,2.125,1.9375,1.9375
07-02-1989,1.9375,1.9375,21800.0,2.0625,1.9375,1.9375
08-02-1989,1.9375,1.9375,16000.0,2.0625,1.9375,1.9375
09-02-1989,1.9375,1.9375,6200.0,2.0625,1.9375,1.9375
10-02-1989,1.9375,1.9375,8500.0,2.0625,1.9375,1.9375
13-02-1989,1.875,1.9375,21500.0,1.9375,1.875,1.875
14-02-1989,1.875,1.875,0.0,1.875,1.875,1.875
15-02-1989,1.875,1.875,0.0,1.875,1.875,1.875
16-02-1989,1.875,1.875,3000.0,1.9375,1.875,1.875
17-02-1989,1.875,1.875,2500.0,2.0,1.875,1.875
21-02-1989,1.875,1.875,6500.0,2.0,1.875,1.875
22-02-1989,1.875,1.875,6100.0,2.0,1.875,1.875
23-02-1989,1.8125,1.875,31800.0,1.9375,1.8125,1.8125
24-02-1989,1.8125,1.8125,2000.0,1.9375,1.8125,1.8125
27-02-1989,1.5625,1.6875,13300.0,1.6875,1.5625,1.5625
28-02-1989,1.5625,1.5625,0.0,1.5625,1.5625,1.5625
01-03-1989,1.5625,1.5625,8100.0,1.6875,1.5625,1.5625
02-03-1989,1.625,1.625,11000.0,1.8125,1.625,1.625
03-03-1989,1.625,1.625,2900.0,1.8125,1.625,1.625
06-03-1989,1.625,1.625,1900.0,1.8125,1.625,1.625
07-03-1989,1.625,1.625,800.0,1.75,1.625,1.625
08-03-1989,1.5625,1.625,12000.0,1.6875,1.5625,1.5625
09-03-1989,1.5625,1.5625,5000.0,1.6875,1.5625,1.5625
10-03-1989,1.5625,1.5625,19000.0,1.6875,1.5625,1.5625
13-03-1989,1.5625,1.5625,8000.0,1.75,1.5625,1.5625
14-03-1989,1.625,1.625,6000.0,1.8125,1.625,1.625
15-03-1989,1.5625,1.625,5300.0,1.75,1.5625,1.5625
16-03-1989,1.5625,1.5625,2600.0,1.75,1.5625,1.5625
17-03-1989,1.5625,1.5625,7000.0,1.6875,1.5625,1.5625
20-03-1989,1.5,1.5625,8900.0,1.625,1.5,1.5
21-03-1989,1.5,1.5,3300.0,1.625,1.5,1.5
22-03-1989,1.5,1.5,6600.0,1.625,1.5,1.5
23-03-1989,1.5,1.5,3700.0,1.6875,1.5,1.5
27-03-1989,1.5,1.5,2300.0,1.6875,1.5,1.5
28-03-1989,1.5,1.5,0.0,1.5,1.5,1.5
29-03-1989,1.3125,1.5,20000.0,1.625,1.3125,1.3125
30-03-1989,1.3125,1.3125,0.0,1.3125,1.3125,1.3125
31-03-1989,1.3125,1.3125,4500.0,1.5,1.3125,1.3125
03-04-1989,1.3125,1.3125,0.0,1.3125,1.3125,1.3125
04-04-1989,1.3125,1.3125,10200.0,1.5,1.3125,1.3125
05-04-1989,1.4375,1.4375,9000.0,1.625,1.4375,1.4375
06-04-1989,1.625,1.625,29400.0,1.8125,1.625,1.625
07-04-1989,1.6875,1.6875,28000.0,1.8125,1.6875,1.6875
10-04-1989,1.5,1.625,20200.0,1.625,1.5,1.5
11-04-1989,1.5,1.5,3000.0,1.625,1.5,1.5
12-04-1989,1.5,1.5,10100.0,1.5625,1.5,1.5
13-04-1989,1.5,1.5,17000.0,1.5625,1.5,1.5
14-04-1989,1.5,1.5,1400.0,1.5625,1.5,1.5
17-04-1989,1.5,1.5,10400.0,1.5625,1.5,1.5
18-04-1989,1.5,1.5,28000.0,1.5625,1.5,1.5
19-04-1989,1.6875,1.6875,41500.0,1.8125,1.6875,1.6875
20-04-1989,1.75,1.75,27100.0,1.875,1.75,1.75
21-04-1989,1.75,1.75,14700.0,1.875,1.75,1.75
24-04-1989,1.75,1.75,45400.0,1.8125,1.75,1.75
25-04-1989,1.8125,1.8125,25400.0,1.9375,1.8125,1.8125
26-04-1989,1.75,1.8125,19500.0,1.875,1.75,1.75
27-04-1989,1.9375,1.9375,31100.0,2.0,1.9375,1.9375
28-04-1989,2.125,2.125,93600.0,2.1875,2.125,2.125
01-05-1989,2.125,2.125,53400.0,2.1875,2.125,2.125
02-05-1989,2.0625,2.125,56300.0,2.125,2.0625,2.0625
03-05-1989,2.0625,2.0625,1900.0,2.125,2.0625,2.0625
04-05-1989,2.0625,2.0625,13800.0,2.125,2.0625,2.0625
05-05-1989,2.0625,2.0625,1000.0,2.125,2.0625,2.0625
08-05-1989,2.125,2.125,33400.0,2.1875,2.125,2.125
