Date,Low,Open,Volume,High,Close,Adjusted Close
11-08-2015,20.530000686645508,20.530000686645508,0.0,20.530000686645508,20.530000686645508,20.530000686645508
12-08-2015,,,,,,
13-08-2015,,,,,,
14-08-2015,,,,,,
17-08-2015,,,,,,
18-08-2015,,,,,,
19-08-2015,,,,,,
20-08-2015,,,,,,
21-08-2015,,,,,,
24-08-2015,,,,,,
25-08-2015,,,,,,
26-08-2015,,,,,,
27-08-2015,,,,,,
28-08-2015,,,,,,
31-08-2015,,,,,,
01-09-2015,,,,,,
02-09-2015,,,,,,
03-09-2015,3100.0,3100.0,0.0,3100.0,3100.0,3100.0
04-09-2015,,,,,,
08-09-2015,,,,,,
09-09-2015,,,,,,
10-09-2015,,,,,,
11-09-2015,,,,,,
14-09-2015,,,,,,
15-09-2015,,,,,,
16-09-2015,,,,,,
17-09-2015,,,,,,
18-09-2015,,,,,,
21-09-2015,,,,,,
22-09-2015,,,,,,
23-09-2015,,,,,,
24-09-2015,,,,,,
25-09-2015,,,,,,
28-09-2015,,,,,,
29-09-2015,,,,,,
30-09-2015,,,,,,
01-10-2015,,,,,,
02-10-2015,,,,,,
05-10-2015,2635.0,2635.0,0.0,2635.0,2635.0,2635.0
06-10-2015,,,,,,
07-10-2015,,,,,,
08-10-2015,,,,,,
09-10-2015,,,,,,
12-10-2015,,,,,,
13-10-2015,,,,,,
14-10-2015,,,,,,
15-10-2015,,,,,,
16-10-2015,,,,,,
19-10-2015,,,,,,
20-10-2015,,,,,,
21-10-2015,,,,,,
22-10-2015,,,,,,
23-10-2015,,,,,,
26-10-2015,,,,,,
27-10-2015,,,,,,
28-10-2015,,,,,,
29-10-2015,,,,,,
30-10-2015,,,,,,
02-11-2015,,,,,,
03-11-2015,,,,,,
04-11-2015,,,,,,
05-11-2015,,,,,,
06-11-2015,,,,,,
09-11-2015,,,,,,
10-11-2015,,,,,,
11-11-2015,,,,,,
12-11-2015,,,,,,
13-11-2015,,,,,,
16-11-2015,,,,,,
17-11-2015,,,,,,
18-11-2015,,,,,,
19-11-2015,,,,,,
20-11-2015,,,,,,
23-11-2015,2550.0,2550.0,0.0,2550.0,2550.0,2550.0
