Date,Low,Open,Volume,High,Close,Adjusted Close
19-05-2000,31.5,33.75,2229300.0,36.9375,32.671875,32.671875
22-05-2000,31.125,33.1875,537400.0,39.75,36.5625,36.5625
23-05-2000,36.9375,37.3125,529900.0,44.25,37.5,37.5
24-05-2000,34.6875,39.75,295600.0,40.5,37.3125,37.3125
25-05-2000,35.625,37.875,170200.0,38.625,36.375,36.375
26-05-2000,32.625,36.0,157200.0,36.09375,33.1875,33.1875
30-05-2000,33.75,34.125,130800.0,36.5625,35.625,35.625
31-05-2000,34.875,36.375,162700.0,37.5,36.1875,36.1875
01-06-2000,36.1875,36.1875,176300.0,41.8125,39.375,39.375
02-06-2000,40.5,42.0,351700.0,49.5,48.75,48.75
05-06-2000,47.4375,49.3125,458200.0,59.4375,57.375,57.375
06-06-2000,51.375,58.5,383400.0,64.5,60.0,60.0
07-06-2000,54.375,60.46875,175600.0,60.5625,56.15625,56.15625
08-06-2000,53.25,57.375,130700.0,57.375,54.5625,54.5625
09-06-2000,54.75,56.15625,241000.0,69.1875,69.1875,69.1875
12-06-2000,64.5,74.25,361300.0,77.8125,68.25,68.25
13-06-2000,60.0,68.34375,200600.0,69.9375,67.3125,67.3125
14-06-2000,62.25,69.75,194300.0,69.9375,64.3125,64.3125
15-06-2000,60.75,65.53125,90100.0,66.75,64.5,64.5
16-06-2000,60.75,65.4375,52800.0,66.0,61.5,61.5
19-06-2000,53.625,60.375,138100.0,60.375,58.125,58.125
20-06-2000,54.375,57.84375,87600.0,58.5,56.625,56.625
21-06-2000,54.75,57.0,59500.0,58.125,56.25,56.25
22-06-2000,56.4375,58.125,154700.0,64.5,59.25,59.25
23-06-2000,58.875,59.4375,92800.0,62.625,61.125,61.125
26-06-2000,59.625,60.375,91400.0,62.625,61.6875,61.6875
27-06-2000,58.875,61.875,51300.0,61.875,60.0,60.0
28-06-2000,59.0625,59.71875,47100.0,61.5,60.0,60.0
29-06-2000,58.6875,58.875,63400.0,63.0,61.5,61.5
30-06-2000,62.0625,62.0625,185200.0,73.3125,68.25,68.25
03-07-2000,66.0,66.0,40000.0,74.8125,72.375,72.375
05-07-2000,64.875,72.9375,114600.0,74.25,69.75,69.75
06-07-2000,67.125,72.1875,103300.0,74.25,67.6875,67.6875
07-07-2000,67.875,70.3125,143600.0,82.875,81.0,81.0
10-07-2000,75.75,82.5,175000.0,93.0,92.25,92.25
