Date,Low,Open,Volume,High,Close,Adjusted Close
19-07-2000,76.5,76.5,3791000,117.5625,97.875,50.59238815307617
20-07-2000,87.0,100.5,465200,111.0,106.875,55.24456024169922
21-07-2000,93.0,102.0,168800,110.390625,98.625,50.98006820678711
24-07-2000,95.0625,101.0625,96200,102.375,99.0,51.17390823364258
25-07-2000,96.0,97.96875,100300,107.25,105.0,54.27535629272461
26-07-2000,97.125,102.0,99800,104.8125,100.875,52.14311218261719
27-07-2000,93.375,101.25,109900,101.8125,94.5,48.84782028198242
28-07-2000,78.0,94.96875,250800,95.625,87.0,44.971012115478516
31-07-2000,84.375,87.65625,130800,102.375,102.375,52.91847229003906
01-08-2000,92.25,102.28125,25500,102.28125,94.5,48.84782028198242
02-08-2000,84.0,93.0,62000,93.0,86.25,44.58332824707031
03-08-2000,80.625,82.875,32900,95.25,86.25,44.58332824707031
04-08-2000,88.5,88.5,91600,93.0,90.75,46.90941619873047
07-08-2000,90.375,91.125,51800,101.4375,100.5,51.94927215576172
08-08-2000,98.25,99.84375,46600,101.25,100.125,51.75543212890625
09-08-2000,96.75,99.0,40700,99.0,97.5,50.3985481262207
10-08-2000,88.6875,97.5,8900,97.6875,90.0,46.52173614501953
11-08-2000,86.25,90.0,26000,90.375,87.75,45.35869216918945
14-08-2000,80.625,87.5625,47200,92.0625,85.5,44.195648193359375
15-08-2000,82.5,86.4375,32900,88.5,84.375,43.61412811279297
16-08-2000,72.0,84.375,136700,84.375,76.5,39.54347610473633
17-08-2000,72.375,76.125,26400,76.5,73.5,37.99275207519531
18-08-2000,67.875,72.5625,36900,72.5625,71.25,36.829708099365234
21-08-2000,70.453125,72.5625,63200,74.25,72.75,37.60506820678711
22-08-2000,69.0,72.75,38700,73.875,70.5,36.44202423095703
23-08-2000,69.0,69.0,14800,70.875,70.6875,36.53894805908203
24-08-2000,71.625,71.71875,19800,79.5,77.0625,39.83423614501953
25-08-2000,78.46875,78.46875,46000,105.0,93.75,48.460140228271484
28-08-2000,91.5,92.4375,24900,102.0,97.5,50.3985481262207
29-08-2000,96.0,97.125,13100,104.8125,100.5,51.94927215576172
30-08-2000,96.75,102.0,7200,102.0,97.5,50.3985481262207
31-08-2000,89.4375,94.59375,33900,97.5,93.046875,48.0966911315918
01-09-2000,89.25,94.125,27200,94.125,90.0,46.52173614501953
05-09-2000,88.6875,90.0,14100,93.0,92.25,47.68478012084961
06-09-2000,88.125,92.15625,35200,92.25,88.5,45.74637222290039
07-09-2000,86.625,88.875,12000,88.875,87.0,44.971012115478516
08-09-2000,85.5,86.625,4200,88.5,86.625,44.77716827392578
11-09-2000,79.125,86.4375,6100,87.375,81.0,41.86956024169922
12-09-2000,79.875,81.46875,8600,83.25,81.0,41.86956024169922
13-09-2000,79.5,79.5,17500,88.125,88.125,45.55253219604492
14-09-2000,87.375,87.9375,106600,98.8125,93.1875,48.16938018798828
15-09-2000,93.1875,96.0,9400,97.125,93.1875,48.16938018798828
18-09-2000,85.875,93.1875,2900,95.25,89.25,46.13405227661133
19-09-2000,83.25,86.625,79600,89.25,83.625,43.226444244384766
20-09-2000,83.25,83.625,3900,85.3125,84.75,43.80796813964844
21-09-2000,84.75,85.3125,23700,90.0,89.625,46.32789611816406
22-09-2000,82.5,82.5,4800,92.25,90.375,46.715576171875
25-09-2000,92.4375,92.625,25700,100.5,97.5,50.3985481262207
26-09-2000,97.5,97.5,1300,99.0,97.5,50.3985481262207
27-09-2000,86.25,97.5,7600,99.0,87.0,44.971012115478516
28-09-2000,83.25,87.75,11600,90.0,87.75,45.35869216918945
29-09-2000,84.0,87.0,50900,94.875,91.875,47.490936279296875
02-10-2000,92.25,92.25,15200,97.5,94.5,48.84782028198242
03-10-2000,85.875,93.375,78200,94.5,85.875,44.389488220214844
04-10-2000,76.5,88.5,12500,88.5,81.0,41.86956024169922
05-10-2000,81.0,83.0625,31000,85.5,81.0,41.86956024169922
06-10-2000,78.0,81.375,2700,81.5625,78.0,40.3188362121582
09-10-2000,73.125,78.0,4800,78.0,73.875,38.18659210205078
10-10-2000,69.1875,75.75,5000,75.75,71.8125,37.12046813964844
11-10-2000,58.5,68.8125,14300,68.8125,61.125,31.596012115478516
12-10-2000,52.125,60.046875,14000,60.703125,54.9375,28.397642135620117
13-10-2000,47.25,51.375,10700,52.125,48.9375,25.296194076538086
16-10-2000,50.0625,50.953125,38200,57.75,52.875,27.331520080566406
17-10-2000,53.625,56.203125,8800,56.625,54.75,28.300722122192383
18-10-2000,54.75,55.125,8800,66.75,60.5625,31.30525016784668
19-10-2000,65.8125,65.953125,26100,78.1875,76.875,39.7373161315918
20-10-2000,75.75,76.5,21600,81.0,80.25,41.48188018798828
23-10-2000,58.125,79.453125,42800,79.5,58.3125,30.142208099365234
24-10-2000,54.0,59.25,15900,62.625,54.5625,28.20380210876465
25-10-2000,52.6875,54.0,27800,56.25,54.375,28.106882095336914
26-10-2000,52.875,54.75,11500,55.125,54.0,27.913040161132812
27-10-2000,48.796875,52.6875,5700,53.8125,48.9375,25.296194076538086
30-10-2000,45.375,50.953125,49700,51.0,46.5,24.036230087280273
31-10-2000,42.375,47.484375,16400,47.578125,42.75,22.097824096679688
01-11-2000,40.5,42.1875,25700,45.0,43.5,22.485506057739258
02-11-2000,45.0,45.046875,21500,48.0,47.625,24.617752075195312
03-11-2000,46.3125,46.5,18800,47.625,46.3125,23.93931007385254
06-11-2000,42.0,47.0625,14700,49.5,42.375,21.90398406982422
07-11-2000,42.75,42.796875,7100,45.0,44.25,22.873186111450195
08-11-2000,35.25,44.0625,12000,44.25,36.1875,18.70561408996582
09-11-2000,35.25,37.875,18100,37.875,36.375,18.802534103393555
10-11-2000,32.25,34.5,33300,36.75,33.0,17.05797004699707
13-11-2000,25.875,26.578125,28500,33.75,33.0,17.05797004699707
14-11-2000,33.375,33.375,17600,39.0,39.0,20.1594181060791
15-11-2000,35.25,38.625,12200,38.625,35.25,18.221012115478516
16-11-2000,35.25,35.296875,11500,38.25,36.75,18.996376037597656
17-11-2000,30.0,37.875,20200,37.875,30.5625,15.798006057739258
20-11-2000,30.375,31.171875,9600,33.0,30.375,15.701086044311523
21-11-2000,29.8125,31.453125,22100,31.5,30.0,15.507245063781738
22-11-2000,29.625,30.0,73200,30.375,30.0,15.507245063781738
24-11-2000,29.625,30.375,48600,30.375,30.1875,15.604165077209473
27-11-2000,30.0,30.0,51500,31.3125,31.3125,16.185686111450195
28-11-2000,31.125,31.5,59200,33.75,33.0,17.05797004699707
29-11-2000,32.25,33.046875,84700,33.75,33.375,17.25181007385254
30-11-2000,32.296875,32.296875,28500,43.125,42.1875,21.807064056396484
01-12-2000,42.0,42.0,37700,49.3125,43.875,22.679346084594727
04-12-2000,37.875,43.5,24000,43.5,39.75,20.547100067138672
05-12-2000,39.75,39.75,11300,44.625,44.25,22.873186111450195
06-12-2000,43.875,43.875,26200,46.5,45.75,23.648548126220703
07-12-2000,44.25,45.0,4300,47.25,47.25,24.42391014099121
08-12-2000,46.5,46.546875,8800,51.1875,49.875,25.780794143676758
11-12-2000,49.6875,49.6875,16600,54.75,54.0,27.913040161132812
12-12-2000,54.75,54.75,30500,63.375,61.6875,31.88677215576172
13-12-2000,61.5,61.875,221600,66.75,64.875,33.53441619873047
14-12-2000,61.875,66.328125,85700,66.375,62.8125,32.46829605102539
15-12-2000,61.6875,62.34375,46800,63.5625,63.0,32.565216064453125
18-12-2000,62.625,63.140625,37500,63.75,63.0,32.565216064453125
19-12-2000,61.875,62.8125,31200,64.5,63.0,32.565216064453125
20-12-2000,58.875,61.875,251100,62.0625,60.375,31.208330154418945
21-12-2000,47.25,60.0,81000,60.046875,54.9375,28.397642135620117
22-12-2000,53.25,54.75,99000,57.375,54.75,28.300722122192383
26-12-2000,55.6875,56.8125,42300,59.625,58.875,30.432968139648438
27-12-2000,55.5,55.5,76700,61.5,60.1875,31.11141014099121
28-12-2000,58.5,58.5,52800,60.5625,59.625,30.820650100708008
29-12-2000,58.875,58.875,46800,61.6875,60.75,31.402172088623047
02-01-2001,42.0,60.0,81400,60.5625,42.1875,21.807064056396484
03-01-2001,33.0,43.6875,122300,44.4375,40.5,20.93478012084961
04-01-2001,31.125,39.75,61300,40.5,35.625,18.414854049682617
05-01-2001,33.0,33.1875,80800,35.25,35.25,18.221012115478516
08-01-2001,33.0,35.25,43100,35.4375,33.5625,17.348730087280273
09-01-2001,33.796875,33.796875,32800,38.625,37.5,19.384056091308594
10-01-2001,36.0,36.1875,23400,39.75,38.8125,20.062498092651367
11-01-2001,36.0,38.25,38400,38.625,37.5,19.384056091308594
12-01-2001,36.0,37.125,54900,43.875,43.875,22.679346084594727
16-01-2001,32.25,39.375,253000,39.375,37.5,19.384056091308594
17-01-2001,41.625,44.8125,597700,45.75,44.625,23.067026138305664
18-01-2001,36.375,44.8125,161800,45.375,37.125,19.190216064453125
19-01-2001,32.625,36.0,163100,37.5,37.125,19.190216064453125
22-01-2001,36.984375,37.125,106300,38.8125,38.625,19.965578079223633
23-01-2001,38.25,39.0,382500,45.75,44.0625,22.77626609802246
24-01-2001,42.0,44.625,364500,45.375,42.9375,22.194744110107422
25-01-2001,41.0625,42.75,34400,42.9375,42.0,21.71014404296875
26-01-2001,39.375,41.953125,91000,42.0,41.765625,21.588993072509766
29-01-2001,40.125,40.171875,73100,42.75,42.0,21.71014404296875
30-01-2001,41.625,42.0,969200,42.9375,42.5625,22.000904083251953
31-01-2001,43.125,43.3125,44100,46.5,45.375,23.454708099365234
01-02-2001,44.25,45.375,21100,46.5,44.625,23.067026138305664
02-02-2001,44.25,44.8125,114000,45.0,44.8125,23.16394805908203
05-02-2001,42.375,44.625,29600,44.8125,43.3125,22.38858413696289
06-02-2001,42.375,42.796875,70000,43.125,42.5625,22.000904083251953
07-02-2001,40.3125,42.375,105300,42.75,42.0,21.71014404296875
08-02-2001,38.625,41.8125,78300,41.8125,39.375,20.353260040283203
09-02-2001,38.0625,39.0,13000,40.125,39.0,20.1594181060791
12-02-2001,38.625,39.375,10500,40.3125,39.515625,20.425949096679688
