Date,Low,Open,Volume,High,Close,Adjusted Close
21-10-1992,16.0,17.5,30000.0,17.5,16.0,14.65528392791748
22-10-1992,15.0,16.0,1900.0,16.0,15.0,13.739328384399414
23-10-1992,16.0,16.0,300.0,16.0,16.0,14.65528392791748
26-10-1992,16.0,16.0,100.0,16.0,16.0,14.65528392791748
27-10-1992,14.5,14.5,1500.0,14.5,14.5,13.281351089477539
28-10-1992,15.5,15.5,0.0,15.5,15.5,14.197306632995605
29-10-1992,15.0,15.0,500.0,15.0,15.0,13.739328384399414
30-10-1992,12.5,15.0,63800.0,15.0,14.0,12.823372840881348
02-11-1992,14.5,14.5,1100.0,15.5,15.5,14.197306632995605
03-11-1992,13.0,14.5,98500.0,16.0,16.0,14.65528392791748
04-11-1992,15.5,15.5,64400.0,18.0,17.0,15.57123851776123
05-11-1992,16.5,16.5,49100.0,18.5,18.5,16.945171356201172
06-11-1992,17.0,18.5,138400.0,19.0,18.5,16.945171356201172
09-11-1992,17.0,19.0,34000.0,19.0,18.0,16.487194061279297
10-11-1992,17.0,18.0,10000.0,18.0,18.0,16.487194061279297
11-11-1992,17.0,18.0,15900.0,18.0,18.0,16.487194061279297
12-11-1992,17.5,18.0,2700.0,18.0,18.0,16.487194061279297
13-11-1992,17.5,18.0,9900.0,18.0,18.0,16.487194061279297
16-11-1992,16.5,17.5,13100.0,18.0,17.5,16.029216766357422
17-11-1992,16.5,17.5,1400.0,17.5,17.5,16.029216766357422
18-11-1992,16.5,16.5,1600.0,17.0,17.0,15.57123851776123
19-11-1992,16.0,16.5,5800.0,17.0,16.0,14.65528392791748
20-11-1992,16.0,17.0,8600.0,17.0,16.5,15.113261222839355
23-11-1992,16.0,16.5,800.0,16.5,16.5,15.113261222839355
24-11-1992,16.0,16.5,2000.0,16.5,16.0,14.65528392791748
25-11-1992,16.0,16.0,200.0,16.0,16.0,14.65528392791748
27-11-1992,16.0,16.0,200.0,16.0,16.0,14.65528392791748
30-11-1992,15.0,16.0,5200.0,16.5,16.0,14.65528392791748
01-12-1992,16.0,16.0,400.0,16.0,16.0,14.65528392791748
02-12-1992,15.0,15.0,5500.0,16.0,16.0,14.65528392791748
03-12-1992,15.0,16.0,2200.0,16.0,15.5,14.197306632995605
04-12-1992,15.5,15.5,21300.0,18.0,18.0,16.487194061279297
07-12-1992,17.0,18.0,6800.0,18.0,18.0,16.487194061279297
08-12-1992,17.0,18.0,8200.0,18.0,17.0,15.57123851776123
09-12-1992,16.5,17.0,2800.0,17.5,17.5,16.029216766357422
10-12-1992,16.0,17.5,2100.0,17.5,17.5,16.029216766357422
11-12-1992,16.5,17.5,1100.0,17.5,16.5,15.113261222839355
14-12-1992,14.5,15.5,3800.0,16.0,15.0,13.739328384399414
15-12-1992,14.5,15.0,6300.0,15.5,15.5,14.197306632995605
16-12-1992,15.0,15.0,1100.0,15.5,15.5,14.197306632995605
17-12-1992,14.5,15.5,700.0,15.5,15.5,14.197306632995605
18-12-1992,15.0,15.5,1000.0,15.5,15.0,13.739328384399414
21-12-1992,13.5,15.0,12700.0,15.5,14.5,13.281351089477539
22-12-1992,14.5,15.0,22300.0,16.0,16.0,14.65528392791748
23-12-1992,15.5,16.0,10100.0,17.0,17.0,15.57123851776123
24-12-1992,16.0,17.0,300.0,17.0,16.5,15.113261222839355
28-12-1992,16.0,16.0,600.0,17.0,16.0,14.65528392791748
29-12-1992,15.5,17.0,3800.0,17.0,15.5,14.197306632995605
30-12-1992,15.5,16.0,9800.0,17.0,17.0,15.57123851776123
31-12-1992,15.5,16.5,2000.0,17.0,17.0,15.57123851776123
04-01-1993,15.5,17.0,4800.0,17.0,16.5,15.113261222839355
05-01-1993,16.0,16.5,14600.0,18.0,17.0,15.57123851776123
06-01-1993,18.0,18.0,22900.0,21.0,21.0,19.23505973815918
07-01-1993,19.0,21.0,71700.0,24.0,23.0,21.066970825195312
08-01-1993,22.0,23.0,34100.0,23.5,23.0,21.066970825195312
11-01-1993,22.5,23.0,4200.0,23.5,23.5,21.52495002746582
12-01-1993,22.0,23.5,34500.0,23.5,22.5,20.608991622924805
13-01-1993,22.5,22.5,30100.0,23.5,22.5,20.608991622924805
14-01-1993,22.5,22.5,14800.0,24.0,23.5,21.52495002746582
15-01-1993,22.0,23.5,9200.0,23.5,23.0,21.066970825195312
18-01-1993,20.5,23.0,8500.0,23.0,20.5,18.777082443237305
19-01-1993,20.0,20.5,7200.0,21.5,21.5,19.693037033081055
20-01-1993,20.5,21.5,2100.0,21.5,21.5,19.693037033081055
21-01-1993,20.5,21.5,51100.0,23.0,22.0,20.15101432800293
22-01-1993,21.0,23.0,23000.0,23.0,22.5,20.608991622924805
25-01-1993,20.0,22.5,6400.0,22.5,21.5,19.693037033081055
26-01-1993,18.5,21.5,6700.0,21.5,20.0,18.319107055664062
27-01-1993,18.5,18.5,2800.0,20.0,20.0,18.319107055664062
28-01-1993,18.5,20.0,2400.0,20.0,20.0,18.319107055664062
29-01-1993,18.25,20.0,8300.0,20.0,18.5,16.945171356201172
01-02-1993,17.5,18.5,2000.0,19.5,19.5,17.861125946044922
02-02-1993,17.5,18.0,7000.0,19.5,17.5,16.029216766357422
03-02-1993,17.5,17.5,8100.0,19.5,18.5,16.945171356201172
04-02-1993,18.0,19.0,3300.0,19.5,19.5,17.861125946044922
05-02-1993,18.0,18.0,9700.0,19.5,19.0,17.403148651123047
08-02-1993,18.0,19.0,3200.0,19.0,19.0,17.403148651123047
09-02-1993,18.0,19.0,4100.0,19.5,19.0,17.403148651123047
10-02-1993,18.0,18.875,7100.0,19.0,18.875,17.288654327392578
11-02-1993,18.0,18.0,3600.0,19.0,19.0,17.403148651123047
12-02-1993,18.0,19.5,11600.0,19.5,18.0,16.487194061279297
16-02-1993,18.0,19.0,5500.0,19.0,18.0,16.487194061279297
17-02-1993,18.0,19.0,6700.0,19.0,19.0,17.403148651123047
18-02-1993,18.5,19.0,15900.0,19.0,19.0,17.403148651123047
19-02-1993,18.5,19.0,9700.0,19.0,18.75,17.17416000366211
22-02-1993,18.5,19.0,9300.0,19.0,19.0,17.403148651123047
23-02-1993,18.5,19.0,10500.0,19.0,18.5,16.945171356201172
24-02-1993,16.5,18.0,18700.0,19.0,18.0,16.487194061279297
25-02-1993,16.5,17.0,21400.0,18.0,17.0,15.57123851776123
26-02-1993,17.0,18.0,80800.0,20.0,19.5,17.861125946044922
01-03-1993,19.0,19.5,4100.0,19.5,19.5,17.861125946044922
02-03-1993,18.875,19.5,4000.0,19.5,19.5,17.861125946044922
03-03-1993,19.0,19.5,1800.0,19.5,19.5,17.861125946044922
04-03-1993,19.0,19.5,16400.0,20.5,20.0,18.319107055664062
05-03-1993,19.0,20.0,12700.0,20.0,20.0,18.319107055664062
08-03-1993,19.0,20.0,7000.0,20.0,19.0,17.403148651123047
09-03-1993,18.5,19.0,19200.0,20.0,19.5,17.861125946044922
10-03-1993,18.0,19.5,3500.0,19.5,19.5,17.861125946044922
