Date,Low,Open,Volume,High,Close,Adjusted Close
19-04-1999,31.5,32.625,100.0,32.625,31.5,31.5
20-04-1999,30.75,30.75,100.0,30.75,30.75,30.75
21-04-1999,30.75,31.5,400.0,31.5,30.75,30.75
22-04-1999,30.0,30.0,2100.0,31.5,31.3125,31.3125
23-04-1999,30.0,30.75,600.0,31.125,30.28125,30.28125
26-04-1999,29.25,30.0,700.0,31.125,29.25,29.25
27-04-1999,28.5,30.75,600.0,30.75,30.0,30.0
28-04-1999,30.0,30.0,200.0,30.0,30.0,30.0
29-04-1999,29.625,29.625,1200.0,30.0,30.0,30.0
30-04-1999,28.875,28.875,2100.0,30.0,28.875,28.875
03-05-1999,29.25,29.25,1700.0,30.75,30.75,30.75
04-05-1999,30.0,30.0,800.0,30.75,30.75,30.75
05-05-1999,29.25,30.75,400.0,31.5,29.25,29.25
06-05-1999,29.25,30.0,1100.0,30.0,29.25,29.25
07-05-1999,29.25,29.25,700.0,30.75,30.0,30.0
10-05-1999,28.875,29.25,400.0,30.0,28.875,28.875
11-05-1999,28.875,28.875,300.0,28.875,28.875,28.875
12-05-1999,28.875,30.0,200.0,30.0,28.875,28.875
13-05-1999,28.875,28.875,200.0,30.0,30.0,30.0
14-05-1999,28.125,28.875,1600.0,30.0,30.0,30.0
17-05-1999,29.25,29.8125,600.0,30.0,29.625,29.625
18-05-1999,28.875,29.625,500.0,30.0,28.875,28.875
19-05-1999,28.6875,28.6875,100.0,28.6875,28.6875,28.6875
20-05-1999,29.90625,30.0,100.0,30.0,30.0,30.0
21-05-1999,28.5,28.5,1500.0,29.625,29.25,29.25
24-05-1999,29.25,29.25,0.0,29.25,29.25,29.25
25-05-1999,27.375,27.375,0.0,27.375,27.375,27.375
26-05-1999,27.0,29.25,1000.0,29.25,27.75,27.75
27-05-1999,27.75,27.75,0.0,27.75,27.75,27.75
28-05-1999,27.0,27.75,500.0,29.25,27.0,27.0
01-06-1999,27.0,27.0,400.0,29.25,28.5,28.5
02-06-1999,24.0,27.0,3100.0,27.75,27.0,27.0
03-06-1999,26.25,26.25,0.0,26.25,26.25,26.25
04-06-1999,26.25,27.0,2900.0,27.0,26.25,26.25
07-06-1999,26.25,27.75,700.0,27.75,26.25,26.25
08-06-1999,26.25,26.25,300.0,28.5,28.5,28.5
09-06-1999,27.0,27.0,100.0,28.5,28.5,28.5
10-06-1999,27.75,28.5,800.0,28.5,27.75,27.75
11-06-1999,24.75,27.0,1600.0,27.0,27.0,27.0
14-06-1999,24.75,24.75,0.0,24.75,24.75,24.75
15-06-1999,21.75,21.75,4700.0,25.5,25.5,25.5
16-06-1999,25.5,25.5,0.0,25.5,25.5,25.5
17-06-1999,23.8125,24.0,500.0,25.3125,25.3125,25.3125
