Date,Low,Open,Volume,High,Close,Adjusted Close
01-12-1995,39.5,43.0,1887200.0,47.0,46.5,46.5
04-12-1995,46.25,47.0,351700.0,50.5,50.0,50.0
05-12-1995,46.5,50.75,128300.0,51.0,46.75,46.75
06-12-1995,45.5,46.5,85300.0,47.5,46.0,46.0
07-12-1995,46.0,46.0,81500.0,48.0,47.25,47.25
08-12-1995,47.25,48.0,38500.0,48.5,47.75,47.75
11-12-1995,45.5,47.5,130700.0,48.5,47.125,47.125
12-12-1995,47.0,48.0,42100.0,49.5,49.5,49.5
13-12-1995,48.5,49.5,23000.0,51.5,50.5,50.5
14-12-1995,49.75,50.5,143900.0,53.0,49.75,49.75
15-12-1995,47.5,49.75,66400.0,50.0,48.5,48.5
18-12-1995,39.0,47.25,92800.0,48.75,40.0,40.0
19-12-1995,40.0,40.0,55900.0,44.5,44.0,44.0
20-12-1995,43.0,44.5,80800.0,45.5,44.0,44.0
21-12-1995,41.25,43.75,159200.0,43.75,42.5,42.5
22-12-1995,43.0,43.0,44200.0,44.5,44.5,44.5
26-12-1995,44.0,44.0,67900.0,47.5,47.0,47.0
27-12-1995,47.0,47.25,55100.0,54.0,54.0,54.0
28-12-1995,51.5,53.5,65400.0,54.25,54.25,54.25
29-12-1995,49.75,54.0,57000.0,55.25,50.25,50.25
02-01-1996,46.5,50.75,12700.0,50.75,47.75,47.75
03-01-1996,45.5,47.5,39300.0,49.0,48.0,48.0
04-01-1996,44.5,48.0,14400.0,48.0,44.5,44.5
05-01-1996,42.75,45.5,22500.0,45.5,44.75,44.75
08-01-1996,44.75,46.0,28800.0,48.0,48.0,48.0
09-01-1996,46.0,46.0,23200.0,48.75,48.75,48.75
10-01-1996,46.5,48.0,73600.0,52.0,51.0,51.0
11-01-1996,50.5,51.0,29100.0,51.5,51.5,51.5
12-01-1996,46.5,51.25,34700.0,51.25,48.5,48.5
15-01-1996,43.75,48.0,24200.0,48.5,44.25,44.25
16-01-1996,41.75,44.0,24100.0,45.0,41.75,41.75
17-01-1996,41.5,42.25,72300.0,42.5,42.5,42.5
18-01-1996,39.0,42.5,55300.0,42.5,39.75,39.75
19-01-1996,38.5,38.75,43000.0,39.5,39.25,39.25
22-01-1996,38.75,39.25,19300.0,40.0,40.0,40.0
