Date,Low,Open,Volume,High,Close,Adjusted Close
02-04-1991,29.0625,30.0,409700,30.9375,30.0,30.0
03-04-1991,30.0,30.0,53700,30.46875,30.46875,30.46875
04-04-1991,30.0,30.46875,19700,30.46875,30.0,30.0
05-04-1991,30.0,30.46875,44700,30.46875,30.0,30.0
08-04-1991,30.0,30.46875,6400,30.46875,30.0,30.0
09-04-1991,30.46875,30.9375,127400,30.9375,30.46875,30.46875
10-04-1991,30.0,30.9375,81800,30.9375,30.0,30.0
11-04-1991,30.0,30.9375,41000,30.9375,30.0,30.0
12-04-1991,29.53125,30.46875,283700,30.46875,29.53125,29.53125
15-04-1991,29.53125,30.0,17100,30.0,29.53125,29.53125
16-04-1991,29.53125,30.46875,30600,30.46875,29.53125,29.53125
17-04-1991,29.53125,30.0,41700,30.0,29.53125,29.53125
18-04-1991,29.53125,30.0,12400,30.0,29.53125,29.53125
19-04-1991,29.0625,30.0,9400,30.0,29.0625,29.0625
22-04-1991,29.0625,30.0,1300,30.0,29.0625,29.0625
23-04-1991,28.59375,29.53125,4000,29.53125,28.59375,28.59375
24-04-1991,28.59375,30.0,59300,30.0,28.59375,28.59375
25-04-1991,28.59375,30.0,4600,30.0,28.59375,28.59375
26-04-1991,28.59375,30.0,400,30.0,28.59375,28.59375
29-04-1991,28.59375,29.53125,9500,29.53125,28.59375,28.59375
30-04-1991,28.125,28.59375,12200,28.59375,28.125,28.125
01-05-1991,28.125,28.59375,3200,28.59375,28.125,28.125
02-05-1991,28.125,28.59375,16500,28.59375,28.125,28.125
03-05-1991,28.125,28.59375,2700,28.59375,28.125,28.125
06-05-1991,28.125,29.0625,14800,29.0625,28.125,28.125
07-05-1991,28.125,29.0625,7200,29.0625,28.125,28.125
08-05-1991,28.125,28.59375,3800,28.59375,28.125,28.125
09-05-1991,28.125,29.0625,16100,29.0625,28.125,28.125
10-05-1991,28.125,29.0625,40800,29.0625,28.125,28.125
13-05-1991,28.59375,29.53125,3500,29.53125,28.59375,28.59375
14-05-1991,30.0,30.9375,35700,30.9375,30.0,30.0
15-05-1991,29.0625,30.0,35700,30.0,29.0625,29.0625
16-05-1991,29.0625,30.0,3800,30.0,29.0625,29.0625
17-05-1991,29.0625,30.0,5300,30.0,29.0625,29.0625
20-05-1991,29.0625,30.0,2000,30.0,29.0625,29.0625
21-05-1991,29.0625,30.0,4800,30.0,29.0625,29.0625
22-05-1991,29.0625,30.0,400,30.0,29.0625,29.0625
23-05-1991,28.59375,30.0,200,30.0,28.59375,28.59375
24-05-1991,28.59375,30.0,800,30.0,28.59375,28.59375
28-05-1991,28.59375,30.0,27400,30.0,28.59375,28.59375
29-05-1991,29.0625,30.0,2500,30.0,29.0625,29.0625
30-05-1991,29.0625,30.0,3400,30.0,29.0625,29.0625
31-05-1991,29.0625,30.0,2900,30.0,29.0625,29.0625
03-06-1991,28.59375,30.0,800,30.0,28.59375,28.59375
04-06-1991,28.59375,30.0,2700,30.0,28.59375,28.59375
05-06-1991,28.125,29.0625,2700,29.0625,28.125,28.125
06-06-1991,28.125,29.0625,4900,29.0625,28.125,28.125
07-06-1991,28.125,29.0625,400,29.0625,28.125,28.125
10-06-1991,28.125,29.0625,4400,29.0625,28.125,28.125
11-06-1991,27.65625,29.0625,600,29.0625,27.65625,27.65625
12-06-1991,29.0625,30.0,12700,30.0,29.0625,29.0625
13-06-1991,30.0,30.9375,27000,30.9375,30.0,30.0
14-06-1991,31.40625,32.34375,34400,32.34375,31.40625,31.40625
17-06-1991,30.9375,31.875,27500,31.875,30.9375,30.9375
18-06-1991,30.0,31.40625,17300,31.40625,30.0,30.0
19-06-1991,29.0625,30.0,13800,30.0,29.0625,29.0625
20-06-1991,29.0625,30.0,10400,30.0,29.0625,29.0625
21-06-1991,29.53125,30.46875,26900,30.46875,29.53125,29.53125
24-06-1991,29.53125,30.46875,20000,30.46875,29.53125,29.53125
25-06-1991,29.53125,30.46875,400,30.46875,29.53125,29.53125
26-06-1991,29.53125,30.46875,900,30.46875,29.53125,29.53125
27-06-1991,29.53125,30.46875,2200,30.46875,29.53125,29.53125
28-06-1991,29.53125,30.46875,400,30.46875,29.53125,29.53125
01-07-1991,29.53125,30.46875,4800,30.46875,29.53125,29.53125
02-07-1991,29.53125,30.46875,1400,30.46875,29.53125,29.53125
03-07-1991,29.53125,30.46875,5300,30.46875,29.53125,29.53125
05-07-1991,29.53125,30.46875,6200,30.46875,29.53125,29.53125
08-07-1991,30.46875,31.40625,8500,31.40625,30.46875,30.46875
09-07-1991,29.53125,30.46875,11500,30.46875,29.53125,29.53125
10-07-1991,29.0625,30.46875,1300,30.46875,29.0625,29.0625
11-07-1991,29.0625,30.46875,2100,30.46875,29.0625,29.0625
12-07-1991,28.59375,30.0,1200,30.0,28.59375,28.59375
15-07-1991,28.59375,30.0,500,30.0,28.59375,28.59375
16-07-1991,28.59375,29.53125,4400,29.53125,28.59375,28.59375
17-07-1991,28.125,29.53125,1000,29.53125,28.125,28.125
18-07-1991,28.125,29.53125,800,29.53125,28.125,28.125
19-07-1991,28.125,29.53125,4300,29.53125,28.125,28.125
22-07-1991,28.125,29.53125,0,29.53125,28.125,28.125
23-07-1991,28.125,29.53125,0,29.53125,28.125,28.125
24-07-1991,28.125,29.53125,600,29.53125,28.125,28.125
25-07-1991,28.125,29.0625,1600,29.0625,28.125,28.125
26-07-1991,28.125,29.0625,4600,29.0625,28.125,28.125
29-07-1991,28.125,29.0625,100,29.0625,28.125,28.125
30-07-1991,25.3125,26.25,17500,26.25,25.3125,25.3125
31-07-1991,23.90625,24.84375,142200,24.84375,23.90625,23.90625
01-08-1991,24.375,25.78125,3500,25.78125,24.375,24.375
02-08-1991,25.3125,26.25,1700,26.25,25.3125,25.3125
05-08-1991,25.3125,26.25,13800,26.25,25.3125,25.3125
06-08-1991,25.3125,26.25,8600,26.25,25.3125,25.3125
07-08-1991,25.3125,26.25,6500,26.25,25.3125,25.3125
08-08-1991,25.78125,26.71875,34100,26.71875,25.78125,25.78125
09-08-1991,24.375,26.25,3500,26.25,24.375,24.375
12-08-1991,24.375,25.3125,7500,25.3125,24.375,24.375
13-08-1991,23.90625,25.3125,2800,25.3125,23.90625,23.90625
14-08-1991,23.4375,24.84375,1800,24.84375,23.4375,23.4375
15-08-1991,23.4375,24.84375,500,24.84375,23.4375,23.4375
16-08-1991,23.4375,24.375,1200,24.375,23.4375,23.4375
19-08-1991,22.03125,23.4375,3100,23.4375,22.03125,22.03125
20-08-1991,23.4375,24.375,2900,24.375,23.4375,23.4375
21-08-1991,23.4375,24.375,2000,24.375,23.4375,23.4375
22-08-1991,23.4375,24.84375,3500,24.84375,23.4375,23.4375
23-08-1991,26.71875,28.125,8500,28.125,26.71875,26.71875
26-08-1991,26.71875,27.65625,1400,27.65625,26.71875,26.71875
27-08-1991,27.1875,28.125,5600,28.125,27.1875,27.1875
28-08-1991,28.125,29.0625,6800,29.0625,28.125,28.125
29-08-1991,28.125,29.0625,100,29.0625,28.125,28.125
30-08-1991,29.0625,30.0,10100,30.0,29.0625,29.0625
03-09-1991,29.0625,30.0,37400,30.0,29.0625,29.0625
04-09-1991,29.0625,30.0,4800,30.0,29.0625,29.0625
05-09-1991,29.0625,30.0,9400,30.0,29.0625,29.0625
06-09-1991,29.0625,30.0,10800,30.0,29.0625,29.0625
09-09-1991,29.0625,30.0,4900,30.0,29.0625,29.0625
10-09-1991,29.0625,30.0,5400,30.0,29.0625,29.0625
11-09-1991,29.0625,30.0,43400,30.0,29.0625,29.0625
12-09-1991,30.46875,31.875,68800,31.875,30.46875,30.46875
13-09-1991,34.21875,35.15625,63400,35.15625,34.21875,34.21875
16-09-1991,34.6875,35.625,74500,35.625,34.6875,34.6875
17-09-1991,35.15625,36.5625,136000,36.5625,35.15625,35.15625
18-09-1991,34.6875,35.625,56200,35.625,34.6875,34.6875
19-09-1991,34.6875,35.625,79600,35.625,34.6875,34.6875
20-09-1991,34.6875,34.6875,30300,35.15625,34.6875,34.6875
23-09-1991,33.28125,34.6875,27400,35.15625,33.75,33.75
