Date,Low,Open,Volume,High,Close,Adjusted Close
04-02-1997,10.3125,11.0,26677600.0,11.0,10.5625,10.5625
05-02-1997,10.125,10.625,6762800.0,10.75,10.125,10.125
06-02-1997,10.125,10.1875,2238200.0,10.375,10.3125,10.3125
07-02-1997,10.25,10.25,1405800.0,10.3125,10.25,10.25
10-02-1997,10.25,10.25,1666800.0,10.625,10.5,10.5
11-02-1997,10.4375,10.5,1444200.0,10.625,10.5,10.5
12-02-1997,10.3125,10.5,780000.0,10.5625,10.375,10.375
13-02-1997,10.0,10.4375,1518600.0,10.4375,10.0,10.0
14-02-1997,10.0,10.0625,511600.0,10.125,10.0,10.0
18-02-1997,10.0,10.0625,746000.0,10.0625,10.0625,10.0625
19-02-1997,10.0,10.0,1593000.0,10.0625,10.0,10.0
20-02-1997,10.0,10.0,614000.0,10.0625,10.0,10.0
21-02-1997,10.0,10.0,756400.0,10.0625,10.0,10.0
24-02-1997,10.0,10.0,244400.0,10.0625,10.0,10.0
25-02-1997,10.0,10.0,836800.0,10.0625,10.0,10.0
26-02-1997,10.0,10.0,2607200.0,10.1875,10.125,10.125
27-02-1997,10.0,10.125,2115000.0,10.125,10.0,10.0
28-02-1997,10.0,10.0,188400.0,10.0625,10.0625,10.0625
03-03-1997,10.0,10.0625,2307000.0,10.0625,10.0,10.0
04-03-1997,9.375,10.0,1624600.0,10.0625,9.5,9.5
05-03-1997,9.4375,9.5,795800.0,9.625,9.5625,9.5625
06-03-1997,9.5625,9.5625,1049000.0,9.6875,9.6875,9.6875
07-03-1997,9.5625,9.625,417000.0,9.8125,9.8125,9.8125
10-03-1997,9.75,9.8125,567000.0,10.0,9.8125,9.8125
11-03-1997,9.5625,9.8125,438800.0,9.8125,9.625,9.625
12-03-1997,9.5,9.6875,72200.0,9.6875,9.5,9.5
13-03-1997,8.75,9.5,269200.0,9.5,8.8125,8.8125
14-03-1997,8.375,8.875,322200.0,8.875,8.4375,8.4375
17-03-1997,8.3125,8.5,445800.0,8.5,8.4375,8.4375
18-03-1997,8.3125,8.4375,397200.0,8.5,8.3125,8.3125
19-03-1997,8.25,8.3125,215800.0,8.4375,8.25,8.25
20-03-1997,8.25,8.25,182600.0,8.4375,8.4375,8.4375
21-03-1997,8.3125,8.4375,65400.0,8.4375,8.3125,8.3125
24-03-1997,7.6875,8.25,825200.0,8.25,8.125,8.125
25-03-1997,7.6875,8.0625,499600.0,8.0625,7.75,7.75
26-03-1997,7.6875,7.6875,248200.0,7.9375,7.8125,7.8125
27-03-1997,7.625,7.8125,692000.0,7.8125,7.625,7.625
31-03-1997,7.3125,7.625,745800.0,7.625,7.5,7.5
01-04-1997,7.1875,7.5,1067800.0,7.5,7.3125,7.3125
02-04-1997,7.1875,7.3125,344000.0,7.3125,7.3125,7.3125
03-04-1997,7.1875,7.3125,1059000.0,7.4375,7.4375,7.4375
04-04-1997,7.25,7.375,338000.0,7.5,7.5,7.5
07-04-1997,7.5625,7.5625,750800.0,8.5,8.0,8.0
08-04-1997,7.5625,7.6875,201000.0,7.8125,7.625,7.625
09-04-1997,7.59375,7.6875,219400.0,7.6875,7.625,7.625
10-04-1997,7.5625,7.625,74600.0,7.6875,7.625,7.625
11-04-1997,7.5,7.625,301000.0,7.625,7.5,7.5
14-04-1997,7.3125,7.5,577000.0,7.5,7.5,7.5
15-04-1997,7.3125,7.5,290200.0,7.5625,7.375,7.375
16-04-1997,7.375,7.375,272000.0,7.4375,7.4375,7.4375
17-04-1997,7.375,7.4375,432200.0,7.5,7.5,7.5
18-04-1997,7.25,7.5,337400.0,7.5,7.25,7.25
21-04-1997,7.0,7.1875,482600.0,7.25,7.0625,7.0625
22-04-1997,6.9375,7.0,246000.0,7.0625,7.0,7.0
23-04-1997,7.0625,7.0625,89000.0,7.25,7.0625,7.0625
24-04-1997,6.9375,7.0,71800.0,7.0625,6.9375,6.9375
25-04-1997,6.875,7.0,67600.0,7.0,6.875,6.875
28-04-1997,6.75,6.875,398200.0,6.875,6.75,6.75
