Date,Low,Open,Volume,High,Close,Adjusted Close
08-10-1997,12.625,13.0625,6225200,13.125,12.625,0.8020184636116028
09-10-1997,12.625,12.625,603100,12.9375,12.8125,0.8139294385910034
10-10-1997,12.5,12.75,369700,12.75,12.75,0.8099592328071594
13-10-1997,12.5625,12.75,196400,12.75,12.5625,0.7980483174324036
14-10-1997,12.4375,12.5625,535600,12.625,12.4375,0.7901070713996887
15-10-1997,12.375,12.375,232800,12.5625,12.4375,0.7901070713996887
16-10-1997,12.375,12.5625,439400,12.6875,12.4375,0.7901070713996887
17-10-1997,12.125,12.375,248600,12.4375,12.25,0.7781960368156433
20-10-1997,12.25,12.3125,164300,12.375,12.3125,0.7821669578552246
21-10-1997,12.25,12.3125,119200,12.3125,12.3125,0.7821669578552246
22-10-1997,12.25,12.25,200200,12.5,12.4375,0.7901070713996887
23-10-1997,11.875,12.125,530700,12.1875,12.0,0.7623144388198853
24-10-1997,12.0,12.0,575800,12.125,12.0,0.7623144388198853
27-10-1997,11.625,12.0,613000,12.0625,11.625,0.7384925484657288
28-10-1997,11.25,11.5,203000,12.0,11.875,0.7543735504150391
29-10-1997,11.5625,11.5625,427700,12.125,11.9375,0.7583444714546204
30-10-1997,11.625,11.625,38600,12.0,11.875,0.7543735504150391
31-10-1997,11.875,11.9375,29400,12.0,11.875,0.7543735504150391
03-11-1997,11.9375,11.9375,65800,12.125,12.0625,0.7662848830223083
04-11-1997,11.75,12.0,118000,12.0625,11.8125,0.7504033446311951
05-11-1997,11.75,11.8125,196000,11.875,11.8125,0.7504033446311951
06-11-1997,11.6875,11.75,188000,11.875,11.6875,0.7424627542495728
07-11-1997,11.375,11.625,151300,11.75,11.375,0.7226104736328125
10-11-1997,11.0,11.5,190500,11.5625,11.0,0.6987881064414978
11-11-1997,10.875,11.125,144900,11.1875,11.1875,0.7106993198394775
12-11-1997,10.625,11.1875,142700,11.1875,10.625,0.6749659776687622
13-11-1997,10.5,10.75,177200,10.9375,10.6875,0.6789366602897644
14-11-1997,10.375,10.75,125100,10.75,10.4375,0.6630549430847168
17-11-1997,10.25,10.375,186200,10.5,10.25,0.6511437296867371
18-11-1997,10.375,10.375,177600,10.875,10.875,0.690847635269165
19-11-1997,10.875,10.875,35800,11.0625,11.0,0.6987881064414978
20-11-1997,10.875,11.0,84900,11.0,10.9375,0.6948179602622986
21-11-1997,10.875,11.0,49500,11.0625,10.9375,0.6948179602622986
24-11-1997,10.75,10.9375,91400,11.0,10.8125,0.6868770718574524
25-11-1997,10.625,10.875,28100,10.875,10.625,0.6749659776687622
26-11-1997,10.625,10.75,193700,10.8125,10.6875,0.6789366602897644
28-11-1997,10.6875,10.6875,20000,10.8125,10.75,0.6829068064689636
01-12-1997,10.6875,10.75,31200,10.8125,10.6875,0.6789366602897644
02-12-1997,10.75,10.8125,14200,10.9375,10.875,0.690847635269165
03-12-1997,10.6875,10.9375,19800,10.9375,10.75,0.6829068064689636
04-12-1997,10.625,10.625,160000,11.3125,11.3125,0.7186403870582581
05-12-1997,10.8125,11.3125,75300,11.3125,11.0,0.6987881064414978
08-12-1997,10.75,11.0,20000,11.0,10.8125,0.6868770718574524
09-12-1997,10.375,10.75,48300,10.75,10.375,0.6590845584869385
10-12-1997,10.375,10.5,112700,10.625,10.4375,0.6630549430847168
11-12-1997,10.25,10.375,49300,10.4375,10.3125,0.6551142930984497
12-12-1997,10.125,10.3125,52400,10.375,10.3125,0.6551142930984497
15-12-1997,10.0,10.25,91700,10.3125,10.0,0.6352622509002686
16-12-1997,10.0,10.0,150700,10.25,10.25,0.6511437296867371
17-12-1997,10.375,10.375,82800,10.75,10.625,0.6749659776687622
18-12-1997,10.375,10.625,35500,10.625,10.5,0.6670252680778503
19-12-1997,10.375,10.5,129900,10.8125,10.8125,0.6868770718574524
22-12-1997,10.5,10.75,48100,10.75,10.625,0.6749659776687622
23-12-1997,10.5,10.625,100300,10.6875,10.5625,0.6709958910942078
24-12-1997,10.5,10.5,47600,10.625,10.5,0.6670252680778503
26-12-1997,10.125,10.375,48800,10.375,10.375,0.6590845584869385
29-12-1997,10.25,10.25,25800,10.375,10.3125,0.6693066358566284
30-12-1997,10.3125,10.3125,47300,10.625,10.625,0.6895886659622192
31-12-1997,10.5,10.5,155700,11.0,11.0,0.7139268517494202
02-01-1998,10.9375,11.125,9700,11.125,10.9375,0.709870457649231
05-01-1998,10.75,10.9375,26000,10.9375,10.875,0.7058144211769104
06-01-1998,10.4375,10.875,12200,10.875,10.5,0.6814758777618408
07-01-1998,10.25,10.5,22600,10.5,10.375,0.6733628511428833
08-01-1998,10.25,10.375,3000,10.375,10.25,0.6652501821517944
09-01-1998,10.1875,10.25,36600,10.375,10.375,0.6733628511428833
12-01-1998,10.0,10.375,11500,10.375,10.1875,0.66119384765625
13-01-1998,10.1875,10.25,5500,10.25,10.25,0.6652501821517944
14-01-1998,10.125,10.1875,10200,10.25,10.25,0.6652501821517944
15-01-1998,10.1875,10.25,67800,10.5,10.5,0.6814758777618408
16-01-1998,10.4375,10.4375,30400,10.875,10.75,0.6977015733718872
20-01-1998,10.75,10.75,56600,10.8125,10.75,0.6977015733718872
21-01-1998,10.625,10.8125,22000,10.8125,10.6875,0.693645179271698
22-01-1998,10.625,10.8125,14400,10.8125,10.625,0.6895886659622192
23-01-1998,10.5,10.5,7600,10.625,10.5,0.6814758777618408
26-01-1998,10.375,10.5,10300,10.625,10.375,0.6733628511428833
27-01-1998,10.25,10.25,22100,10.5,10.5,0.6814758777618408
28-01-1998,10.5625,10.625,4300,10.6875,10.5625,0.6855325698852539
29-01-1998,10.5625,10.5625,44400,10.75,10.6875,0.693645179271698
30-01-1998,10.5625,10.625,15900,10.6875,10.5625,0.6855325698852539
02-02-1998,10.5625,10.6875,8400,10.75,10.6875,0.693645179271698
03-02-1998,10.625,10.625,63000,11.0,10.875,0.7058144211769104
04-02-1998,10.625,10.625,73900,11.0,11.0,0.7139268517494202
05-02-1998,10.9375,11.75,36800,11.75,10.9375,0.709870457649231
06-02-1998,10.6875,10.875,6000,10.875,10.6875,0.693645179271698
09-02-1998,10.75,10.8125,24300,10.875,10.75,0.6977015733718872
10-02-1998,10.6875,10.6875,79500,10.875,10.6875,0.693645179271698
11-02-1998,10.6875,10.75,7200,10.75,10.75,0.6977015733718872
12-02-1998,10.5,10.75,25000,10.75,10.625,0.6895886659622192
13-02-1998,10.375,10.625,16300,10.625,10.375,0.6733628511428833
17-02-1998,10.25,10.25,41200,10.625,10.5,0.6814758777618408
18-02-1998,10.375,10.375,15100,10.5,10.5,0.6814758777618408
19-02-1998,10.4375,10.4375,13500,10.75,10.625,0.6895886659622192
20-02-1998,10.5,10.625,9100,10.75,10.6875,0.693645179271698
23-02-1998,10.6875,10.6875,37500,10.75,10.6875,0.693645179271698
24-02-1998,10.5,10.625,65000,10.75,10.75,0.6977015733718872
25-02-1998,10.625,10.6875,22400,10.8125,10.75,0.6977015733718872
26-02-1998,10.6875,10.75,14200,10.9375,10.9375,0.709870457649231
27-02-1998,10.6875,10.8125,21400,10.9375,10.875,0.7058144211769104
02-03-1998,10.75,10.75,67300,11.25,11.1875,0.7260962128639221
03-03-1998,11.0,11.1875,342100,11.1875,11.0625,0.717983603477478
04-03-1998,11.0,11.0,24700,11.0625,11.0,0.7139268517494202
05-03-1998,10.875,10.875,24400,11.0,11.0,0.7139268517494202
06-03-1998,11.0625,11.0625,135800,11.4375,11.25,0.7301527261734009
09-03-1998,11.25,11.25,45800,11.4375,11.4375,0.742321789264679
10-03-1998,11.375,11.4375,17500,11.4375,11.375,0.7382654547691345
11-03-1998,11.125,11.25,90900,11.375,11.25,0.7301527261734009
12-03-1998,11.125,11.25,42300,11.3125,11.25,0.7301527261734009
13-03-1998,11.1875,11.1875,15100,11.25,11.25,0.7301527261734009
16-03-1998,11.0,11.1875,32100,11.1875,11.0625,0.717983603477478
17-03-1998,11.125,11.1875,11800,11.25,11.125,0.7220398187637329
18-03-1998,11.0,11.1875,45700,11.1875,11.0,0.7139268517494202
