Date,Low,Open,Volume,High,Close,Adjusted Close
24-07-1992,15.0,15.0,54500.0,15.0,15.0,3.813539981842041
27-07-1992,15.0,15.0,1700.0,15.0,15.0,3.813539981842041
28-07-1992,15.0,15.0,3900.0,15.0,15.0,3.813539981842041
29-07-1992,15.0,15.0,500.0,15.0,15.0,3.813539981842041
30-07-1992,15.0,15.0,36800.0,15.125,15.0,3.813539981842041
31-07-1992,15.0,15.0,6900.0,15.0,15.0,3.813539981842041
03-08-1992,15.0,15.0,3500.0,15.125,15.0,3.813539981842041
04-08-1992,15.0,15.0,1600.0,15.125,15.0,3.813539981842041
05-08-1992,15.0,15.0,9200.0,15.0,15.0,3.813539981842041
06-08-1992,15.0,15.0,13300.0,15.0,15.0,3.813539981842041
07-08-1992,15.0,15.0,14900.0,15.0,15.0,3.813539981842041
10-08-1992,15.0,15.0,1300.0,15.0,15.0,3.813539981842041
11-08-1992,15.0,15.0,4600.0,15.0,15.0,3.813539981842041
12-08-1992,15.0,15.0,1600.0,15.0,15.0,3.813539981842041
13-08-1992,15.0,15.0,5800.0,15.0,15.0,3.813539981842041
14-08-1992,15.0,15.0,5800.0,15.0,15.0,3.813539981842041
17-08-1992,15.0,15.0,1000.0,15.0,15.0,3.813539981842041
18-08-1992,15.0,15.0,8900.0,15.125,15.0,3.813539981842041
19-08-1992,15.0,15.0,6000.0,15.0,15.0,3.813539981842041
20-08-1992,15.0,15.0,9900.0,15.125,15.125,3.84531831741333
21-08-1992,15.125,15.125,500.0,15.125,15.125,3.84531831741333
24-08-1992,15.125,15.125,100.0,15.125,15.125,3.84531831741333
25-08-1992,15.0,15.0,7300.0,15.125,15.0,3.813539981842041
26-08-1992,15.0,15.0,3900.0,15.125,15.0,3.813539981842041
27-08-1992,15.0,15.0,1000.0,15.0,15.0,3.813539981842041
28-08-1992,15.0,15.0,11500.0,15.0,15.0,3.813539981842041
31-08-1992,15.0,15.0,1200.0,15.0,15.0,3.813539981842041
01-09-1992,14.5,14.625,33800.0,14.625,14.625,3.7182016372680664
02-09-1992,14.5,14.5,7600.0,14.625,14.625,3.7182016372680664
03-09-1992,14.625,14.625,13300.0,14.625,14.625,3.7182016372680664
04-09-1992,14.5,14.5,23000.0,14.625,14.625,3.7182016372680664
08-09-1992,14.5,14.625,5500.0,14.625,14.625,3.7182016372680664
09-09-1992,14.625,14.625,15400.0,14.625,14.625,3.7182016372680664
10-09-1992,14.625,14.625,0.0,14.625,14.625,3.7182016372680664
11-09-1992,14.5,14.5,1000.0,14.625,14.625,3.7182016372680664
14-09-1992,14.25,14.5,8100.0,14.5,14.375,3.654644012451172
15-09-1992,14.25,14.375,1400.0,14.375,14.375,3.654644012451172
16-09-1992,14.25,14.375,1000.0,14.375,14.375,3.654644012451172
17-09-1992,14.375,14.375,700.0,14.375,14.375,3.654644012451172
18-09-1992,14.25,14.375,1800.0,14.375,14.25,3.6228644847869873
21-09-1992,14.25,14.25,0.0,14.25,14.25,3.6228644847869873
22-09-1992,14.25,14.25,200.0,14.375,14.375,3.654644012451172
23-09-1992,14.125,14.25,5700.0,14.25,14.125,3.5910840034484863
24-09-1992,14.125,14.25,1300.0,14.25,14.25,3.6228644847869873
25-09-1992,14.25,14.25,0.0,14.25,14.25,3.6228644847869873
28-09-1992,14.125,14.125,700.0,14.25,14.25,3.6228644847869873
29-09-1992,14.25,14.25,1300.0,14.25,14.25,3.6228644847869873
30-09-1992,14.25,14.25,1000.0,14.25,14.25,3.6228644847869873
01-10-1992,14.25,14.25,2300.0,14.375,14.375,3.654644012451172
02-10-1992,14.25,14.375,1000.0,14.375,14.25,3.6228644847869873
05-10-1992,13.625,14.25,9100.0,14.25,14.0,3.5593037605285645
06-10-1992,14.0,14.0,0.0,14.0,14.0,3.5593037605285645
07-10-1992,14.0,14.0,0.0,14.0,14.0,3.5593037605285645
08-10-1992,13.625,13.75,4700.0,13.75,13.75,3.5135653018951416
09-10-1992,13.75,13.75,0.0,13.75,13.75,3.5135653018951416
12-10-1992,13.625,13.625,10700.0,13.875,13.875,3.545506715774536
13-10-1992,13.875,13.875,4400.0,14.0,14.0,3.5774471759796143
14-10-1992,13.875,13.875,700.0,14.0,14.0,3.5774471759796143
15-10-1992,13.75,13.875,4200.0,13.875,13.875,3.545506715774536
16-10-1992,13.5,14.0,7000.0,14.0,13.625,3.4816243648529053
19-10-1992,13.5,13.5,6600.0,13.5,13.5,3.449680805206299
20-10-1992,13.5,13.625,6600.0,13.625,13.5,3.449680805206299
21-10-1992,13.375,13.5,1400.0,13.5,13.375,3.417739152908325
22-10-1992,13.375,13.375,400.0,13.5,13.5,3.449680805206299
23-10-1992,13.125,13.375,9600.0,13.375,13.375,3.417739152908325
26-10-1992,12.75,13.25,12600.0,13.25,12.75,3.2580320835113525
27-10-1992,12.75,12.875,24400.0,13.125,13.125,3.3538551330566406
28-10-1992,13.25,13.25,4500.0,13.5,13.375,3.417739152908325
29-10-1992,13.25,13.25,2300.0,13.625,13.625,3.4816243648529053
30-10-1992,13.5,13.625,400.0,13.625,13.5,3.449680805206299
02-11-1992,13.375,13.625,3900.0,13.625,13.375,3.417739152908325
03-11-1992,13.5,13.5,1200.0,13.625,13.625,3.4816243648529053
04-11-1992,13.625,13.625,9500.0,13.875,13.75,3.5135653018951416
05-11-1992,13.75,13.875,2500.0,13.875,13.75,3.5135653018951416
06-11-1992,13.625,13.625,4000.0,13.75,13.625,3.4996931552886963
09-11-1992,13.625,13.75,4300.0,13.75,13.75,3.5318000316619873
10-11-1992,13.5,13.875,8500.0,13.875,13.5,3.4675872325897217
11-11-1992,13.25,13.375,23900.0,13.875,13.375,3.435479164123535
12-11-1992,13.25,13.5,4000.0,13.5,13.25,3.403374195098877
13-11-1992,13.125,13.25,6000.0,13.25,13.125,3.371263265609741
16-11-1992,13.25,13.25,2500.0,13.25,13.25,3.403374195098877
17-11-1992,13.375,13.375,4800.0,13.5,13.5,3.4675872325897217
18-11-1992,13.25,13.5,9900.0,13.5,13.25,3.403374195098877
19-11-1992,13.125,13.25,4200.0,13.25,13.125,3.371263265609741
20-11-1992,13.125,13.125,7700.0,13.375,13.375,3.435479164123535
23-11-1992,13.25,13.25,700.0,13.25,13.25,3.403374195098877
24-11-1992,13.25,13.375,3300.0,13.375,13.375,3.435479164123535
25-11-1992,13.25,13.375,10100.0,13.375,13.25,3.403374195098877
27-11-1992,13.375,13.375,2000.0,13.375,13.375,3.435479164123535
30-11-1992,13.125,13.375,11100.0,13.5,13.5,3.4675872325897217
01-12-1992,13.375,13.375,14800.0,13.75,13.625,3.4996931552886963
02-12-1992,13.625,13.625,300.0,13.625,13.625,3.4996931552886963
03-12-1992,13.5,13.625,1800.0,13.625,13.625,3.4996931552886963
04-12-1992,13.5,13.5,5000.0,13.625,13.5,3.4675872325897217
07-12-1992,13.625,13.625,2200.0,13.625,13.625,3.4996931552886963
08-12-1992,13.25,13.5,13500.0,13.5,13.375,3.435479164123535
09-12-1992,13.125,13.125,9400.0,13.5,13.5,3.4860949516296387
10-12-1992,13.5,13.625,13100.0,13.625,13.5,3.4860949516296387
11-12-1992,13.5,13.5,2500.0,13.625,13.625,3.518371343612671
14-12-1992,13.375,13.5,5100.0,13.5,13.375,3.4538142681121826
15-12-1992,13.125,13.375,10400.0,13.5,13.125,3.3892552852630615
16-12-1992,13.125,13.125,10400.0,13.25,13.125,3.3892552852630615
17-12-1992,13.0,13.125,2100.0,13.125,13.0,3.356978178024292
18-12-1992,13.0,13.125,9800.0,13.125,13.125,3.3892552852630615
21-12-1992,13.0,13.125,22500.0,13.25,13.125,3.3892552852630615
22-12-1992,13.125,13.375,15400.0,13.375,13.125,3.3892552852630615
23-12-1992,13.125,13.125,9700.0,13.25,13.25,3.4215385913848877
24-12-1992,13.25,13.25,700.0,13.25,13.25,3.4215385913848877
28-12-1992,13.125,13.375,9800.0,13.375,13.25,3.4215385913848877
29-12-1992,13.125,13.25,15200.0,13.25,13.25,3.4215385913848877
30-12-1992,13.125,13.125,23300.0,13.25,13.125,3.3892552852630615
31-12-1992,13.0,13.125,64700.0,13.25,13.125,3.3892552852630615
04-01-1993,13.125,13.25,8600.0,13.25,13.125,3.3892552852630615
05-01-1993,13.125,13.125,16500.0,13.5,13.5,3.4860949516296387
06-01-1993,13.375,13.5,10400.0,13.5,13.5,3.4860949516296387
07-01-1993,13.375,13.5,9200.0,13.5,13.5,3.4860949516296387
08-01-1993,13.5,13.625,4200.0,13.625,13.5,3.4860949516296387
11-01-1993,13.375,13.5,7800.0,13.5,13.5,3.504526138305664
12-01-1993,13.375,13.5,6900.0,13.5,13.5,3.504526138305664
13-01-1993,13.375,13.5,6600.0,13.625,13.375,3.4720752239227295
14-01-1993,13.375,13.625,16000.0,14.5,13.75,3.56942081451416
15-01-1993,13.75,13.75,5100.0,13.875,13.875,3.601869821548462
18-01-1993,13.75,13.875,3800.0,13.875,13.75,3.56942081451416
19-01-1993,13.625,13.75,2400.0,13.75,13.75,3.56942081451416
20-01-1993,13.625,13.625,3800.0,13.75,13.75,3.56942081451416
21-01-1993,13.625,13.625,5100.0,13.875,13.875,3.601869821548462
22-01-1993,13.75,13.75,11000.0,14.0,14.0,3.6343209743499756
25-01-1993,13.875,14.0,2100.0,14.0,13.875,3.601869821548462
26-01-1993,13.75,13.75,4700.0,13.875,13.875,3.601869821548462
27-01-1993,13.75,13.875,7000.0,13.875,13.75,3.56942081451416
28-01-1993,13.75,13.875,1900.0,13.875,13.75,3.56942081451416
29-01-1993,13.875,13.875,1000.0,13.875,13.875,3.601869821548462
01-02-1993,14.0,14.0,5600.0,14.0,14.0,3.6343209743499756
02-02-1993,13.875,14.0,2400.0,14.0,14.0,3.6343209743499756
03-02-1993,13.875,13.875,5100.0,14.0,14.0,3.6343209743499756
04-02-1993,14.0,14.0,1800.0,14.125,14.0,3.6343209743499756
05-02-1993,14.0,14.125,2500.0,14.125,14.0,3.6343209743499756
08-02-1993,13.875,14.0,7300.0,14.0,14.0,3.6528472900390625
09-02-1993,14.0,14.125,7800.0,14.25,14.125,3.6854605674743652
10-02-1993,13.875,14.0,3900.0,14.0,14.0,3.6528472900390625
11-02-1993,14.0,14.0,0.0,14.0,14.0,3.6528472900390625
12-02-1993,13.75,14.0,6300.0,14.0,13.875,3.6202290058135986
16-02-1993,13.875,14.0,2600.0,14.0,13.875,3.6202290058135986
17-02-1993,13.75,14.0,16200.0,14.125,13.875,3.6202290058135986
18-02-1993,13.875,13.875,5900.0,14.125,14.125,3.6854605674743652
19-02-1993,14.0,14.0,3400.0,14.125,14.0,3.6528472900390625
22-02-1993,14.0,14.125,7600.0,14.125,14.125,3.6854605674743652
23-02-1993,14.0,14.0,12200.0,14.125,14.0,3.6528472900390625
24-02-1993,14.125,14.125,13900.0,14.25,14.25,3.7180750370025635
25-02-1993,14.125,14.25,11000.0,14.25,14.25,3.7180750370025635
26-02-1993,14.125,14.25,9500.0,14.375,14.375,3.75068998336792
01-03-1993,14.375,14.375,5100.0,14.5,14.5,3.7833032608032227
02-03-1993,14.375,14.625,10700.0,14.75,14.75,3.848534345626831
03-03-1993,14.625,14.75,8000.0,15.0,14.875,3.8811471462249756
04-03-1993,14.625,14.75,6600.0,14.75,14.625,3.815922737121582
05-03-1993,14.5,14.5,9000.0,14.625,14.5,3.7833032608032227
08-03-1993,14.5,14.625,5800.0,14.625,14.5,3.7833032608032227
09-03-1993,14.25,14.25,3900.0,14.5,14.5,3.801919460296631
10-03-1993,14.25,14.375,9400.0,14.5,14.5,3.801919460296631
11-03-1993,14.25,14.5,12600.0,14.5,14.25,3.73637056350708
12-03-1993,14.125,14.25,14000.0,14.375,14.25,3.73637056350708
15-03-1993,14.25,14.25,1600.0,14.375,14.375,3.769145965576172
16-03-1993,14.125,14.25,5800.0,14.375,14.125,3.7035951614379883
17-03-1993,14.0,14.25,3100.0,14.25,14.0,3.6708216667175293
18-03-1993,13.75,14.125,21800.0,14.125,13.75,3.605268955230713
19-03-1993,13.875,13.875,20100.0,14.0,14.0,3.6708216667175293
22-03-1993,13.875,13.875,4000.0,14.0,14.0,3.6708216667175293
23-03-1993,14.0,14.0,19400.0,14.125,14.0,3.6708216667175293
24-03-1993,14.0,14.125,1900.0,14.125,14.125,3.7035951614379883
25-03-1993,14.0,14.125,4100.0,14.125,14.125,3.7035951614379883
26-03-1993,14.0,14.125,3200.0,14.125,14.0,3.6708216667175293
29-03-1993,14.0,14.0,4300.0,14.125,14.0,3.6708216667175293
30-03-1993,14.0,14.125,5700.0,14.125,14.125,3.7035951614379883
31-03-1993,14.0,14.0,6000.0,14.25,14.125,3.7035951614379883
01-04-1993,14.125,14.25,5400.0,14.25,14.125,3.7035951614379883
02-04-1993,14.125,14.25,1400.0,14.25,14.125,3.7035951614379883
05-04-1993,14.125,14.25,1700.0,14.375,14.25,3.73637056350708
06-04-1993,14.25,14.25,1000.0,14.25,14.25,3.73637056350708
07-04-1993,14.25,14.375,1400.0,14.375,14.375,3.769145965576172
08-04-1993,14.125,14.125,2800.0,14.375,14.375,3.7878530025482178
12-04-1993,14.375,14.375,2600.0,14.5,14.5,3.820788860321045
13-04-1993,14.25,14.375,3300.0,14.5,14.25,3.7549142837524414
14-04-1993,14.25,14.375,2800.0,14.375,14.375,3.7878530025482178
15-04-1993,14.125,14.25,5300.0,14.375,14.125,3.721980571746826
16-04-1993,14.125,14.125,3400.0,14.125,14.125,3.721980571746826
19-04-1993,14.25,14.25,400.0,14.25,14.25,3.7549142837524414
20-04-1993,13.875,14.25,14600.0,14.25,13.875,3.6561031341552734
21-04-1993,13.875,13.875,1700.0,14.0,14.0,3.689042091369629
22-04-1993,13.875,14.0,3900.0,14.125,14.0,3.689042091369629
23-04-1993,13.875,13.875,10700.0,14.0,14.0,3.689042091369629
26-04-1993,13.875,14.0,3200.0,14.0,14.0,3.689042091369629
27-04-1993,13.875,14.0,3300.0,14.0,13.875,3.6561031341552734
28-04-1993,13.875,13.875,6100.0,14.0,14.0,3.689042091369629
29-04-1993,13.875,13.875,2400.0,14.0,13.875,3.6561031341552734
30-04-1993,14.0,14.0,4100.0,14.125,14.125,3.721980571746826
03-05-1993,14.0,14.125,10200.0,14.125,14.125,3.721980571746826
04-05-1993,14.0,14.125,3500.0,14.125,14.125,3.721980571746826
05-05-1993,14.0,14.0,10200.0,14.125,14.0,3.689042091369629
06-05-1993,14.0,14.125,6600.0,14.125,14.0,3.689042091369629
07-05-1993,14.125,14.125,15200.0,14.375,14.125,3.721980571746826
10-05-1993,14.0,14.0,3600.0,14.125,14.125,3.740781545639038
11-05-1993,14.0,14.0,1900.0,14.125,14.0,3.7076761722564697
12-05-1993,14.0,14.125,2800.0,14.125,14.0,3.7076761722564697
13-05-1993,14.0,14.125,7300.0,14.125,14.125,3.740781545639038
14-05-1993,14.0,14.0,5700.0,14.25,14.25,3.7738847732543945
17-05-1993,13.875,14.125,3700.0,14.125,13.875,3.6745779514312744
18-05-1993,14.0,14.0,13500.0,14.375,14.375,3.8069913387298584
19-05-1993,14.125,14.25,3300.0,14.375,14.375,3.8069913387298584
20-05-1993,14.25,14.25,4600.0,14.375,14.375,3.8069913387298584
21-05-1993,14.25,14.25,1800.0,14.25,14.25,3.7738847732543945
24-05-1993,14.0,14.25,4800.0,14.375,14.0,3.7076761722564697
25-05-1993,14.0,14.0,1400.0,14.125,14.125,3.740781545639038
26-05-1993,14.125,14.125,0.0,14.125,14.125,3.740781545639038
27-05-1993,14.0,14.0,9300.0,14.125,14.125,3.740781545639038
28-05-1993,14.0,14.0,1000.0,14.0,14.0,3.7076761722564697
01-06-1993,13.875,14.125,5800.0,14.125,14.0,3.7076761722564697
02-06-1993,14.0,14.125,5500.0,14.125,14.125,3.740781545639038
03-06-1993,14.0,14.125,4200.0,14.125,14.125,3.740781545639038
04-06-1993,14.0,14.0,11600.0,14.125,14.125,3.740781545639038
07-06-1993,13.875,14.0,3100.0,14.0,13.875,3.6745779514312744
08-06-1993,13.875,13.875,3100.0,14.125,14.125,3.740781545639038
09-06-1993,14.0,14.0,1300.0,14.125,14.125,3.7594106197357178
10-06-1993,14.0,14.0,7200.0,14.125,14.0,3.726142644882202
11-06-1993,14.0,14.0,5900.0,14.125,14.0,3.726142644882202
14-06-1993,13.875,13.875,7600.0,14.0,13.875,3.6928770542144775
15-06-1993,13.875,13.875,1800.0,14.0,14.0,3.726142644882202
16-06-1993,13.875,13.875,5000.0,14.0,14.0,3.726142644882202
17-06-1993,13.875,13.875,6000.0,14.0,13.875,3.6928770542144775
18-06-1993,13.875,14.0,4100.0,14.0,13.875,3.6928770542144775
21-06-1993,13.875,14.0,4800.0,14.0,13.875,3.6928770542144775
22-06-1993,13.875,14.0,3900.0,14.0,13.875,3.6928770542144775
23-06-1993,13.875,13.875,6400.0,14.0,13.875,3.6928770542144775
24-06-1993,13.875,13.875,3800.0,14.0,13.875,3.6928770542144775
25-06-1993,13.875,13.875,500.0,14.0,14.0,3.726142644882202
28-06-1993,13.875,13.875,1200.0,13.875,13.875,3.6928770542144775
29-06-1993,13.875,14.0,10400.0,14.0,13.875,3.6928770542144775
30-06-1993,13.875,13.875,8300.0,13.875,13.875,3.6928770542144775
01-07-1993,13.875,14.0,32000.0,14.0,13.875,3.6928770542144775
02-07-1993,13.875,14.0,5900.0,14.0,14.0,3.726142644882202
06-07-1993,14.0,14.0,6500.0,14.125,14.125,3.7594106197357178
07-07-1993,14.0,14.0,9200.0,14.125,14.125,3.7594106197357178
08-07-1993,14.0,14.0,9500.0,14.125,14.125,3.7594106197357178
09-07-1993,14.0,14.125,21100.0,14.125,14.125,3.778135061264038
12-07-1993,14.0,14.0,8300.0,14.25,14.25,3.81156849861145
13-07-1993,14.0,14.125,12200.0,14.25,14.25,3.81156849861145
14-07-1993,14.125,14.25,15300.0,14.25,14.125,3.778135061264038
15-07-1993,14.125,14.25,2200.0,14.25,14.25,3.81156849861145
16-07-1993,14.25,14.25,8100.0,14.25,14.25,3.81156849861145
19-07-1993,14.125,14.25,6200.0,14.375,14.375,3.8450050354003906
20-07-1993,14.25,14.25,2100.0,14.375,14.375,3.8450050354003906
21-07-1993,14.375,14.375,15200.0,14.625,14.5,3.8784401416778564
22-07-1993,14.125,14.5,7300.0,14.5,14.125,3.778135061264038
23-07-1993,14.25,14.25,3200.0,14.25,14.25,3.81156849861145
26-07-1993,14.125,14.25,14300.0,14.375,14.375,3.8450050354003906
27-07-1993,14.125,14.25,9900.0,14.375,14.375,3.8450050354003906
28-07-1993,14.125,14.375,8500.0,14.5,14.25,3.81156849861145
29-07-1993,14.125,14.125,1100.0,14.25,14.25,3.81156849861145
30-07-1993,14.125,14.25,5400.0,14.25,14.125,3.778135061264038
02-08-1993,14.25,14.25,8100.0,14.375,14.375,3.8450050354003906
03-08-1993,14.25,14.375,8900.0,14.375,14.375,3.8450050354003906
04-08-1993,14.125,14.375,10900.0,14.375,14.25,3.81156849861145
05-08-1993,14.125,14.125,1100.0,14.125,14.125,3.778135061264038
06-08-1993,14.125,14.25,6900.0,14.25,14.125,3.778135061264038
09-08-1993,14.0,14.0,15600.0,14.375,14.375,3.864157199859619
10-08-1993,14.25,14.375,19100.0,14.375,14.375,3.864157199859619
11-08-1993,14.25,14.5,2100.0,14.5,14.375,3.864157199859619
12-08-1993,14.125,14.375,8200.0,14.375,14.25,3.830554723739624
13-08-1993,14.25,14.25,11900.0,14.5,14.375,3.864157199859619
16-08-1993,14.375,14.5,6800.0,14.5,14.5,3.897756576538086
17-08-1993,14.5,14.5,0.0,14.5,14.5,3.897756576538086
18-08-1993,14.375,14.5,4800.0,14.5,14.5,3.897756576538086
19-08-1993,14.375,14.5,7700.0,14.5,14.375,3.864157199859619
20-08-1993,14.375,14.5,6600.0,14.5,14.375,3.864157199859619
23-08-1993,14.5,14.5,500.0,14.5,14.5,3.897756576538086
24-08-1993,14.375,14.375,2200.0,14.5,14.5,3.897756576538086
25-08-1993,14.375,14.375,2200.0,14.5,14.5,3.897756576538086
26-08-1993,14.375,14.375,13500.0,14.5,14.375,3.864157199859619
27-08-1993,14.25,14.25,9000.0,14.375,14.375,3.864157199859619
30-08-1993,14.25,14.25,12200.0,14.25,14.25,3.830554723739624
31-08-1993,14.25,14.25,5600.0,14.375,14.375,3.864157199859619
01-09-1993,14.375,14.375,6100.0,14.375,14.375,3.864157199859619
02-09-1993,14.25,14.375,10400.0,14.5,14.375,3.864157199859619
03-09-1993,14.5,14.5,11000.0,14.5,14.5,3.897756576538086
07-09-1993,14.375,14.5,15900.0,14.625,14.375,3.864157199859619
08-09-1993,14.5,14.5,7100.0,14.5,14.5,3.897756576538086
09-09-1993,14.5,14.5,14100.0,14.625,14.625,3.950428009033203
10-09-1993,14.5,14.625,4700.0,14.625,14.5,3.9166653156280518
13-09-1993,14.5,14.5,4500.0,14.625,14.625,3.950428009033203
14-09-1993,14.625,14.625,1600.0,14.625,14.625,3.950428009033203
15-09-1993,14.5,14.625,9900.0,14.75,14.75,3.984194755554199
16-09-1993,14.5,14.625,3800.0,14.625,14.625,3.950428009033203
17-09-1993,14.5,14.5,100.0,14.5,14.5,3.9166653156280518
20-09-1993,14.375,14.375,6900.0,14.5,14.5,3.9166653156280518
21-09-1993,14.25,14.5,6200.0,14.625,14.25,3.849137306213379
22-09-1993,14.25,14.25,0.0,14.25,14.25,3.849137306213379
23-09-1993,14.375,14.375,6300.0,14.5,14.5,3.9166653156280518
24-09-1993,14.5,14.5,9300.0,14.625,14.625,3.950428009033203
27-09-1993,14.5,14.5,3000.0,14.625,14.625,3.950428009033203
28-09-1993,14.5,14.625,1300.0,14.625,14.5,3.9166653156280518
29-09-1993,14.5,14.5,5400.0,14.625,14.625,3.950428009033203
30-09-1993,14.625,14.625,1000.0,14.625,14.625,3.950428009033203
01-10-1993,14.5,14.75,8700.0,14.75,14.75,3.984194755554199
04-10-1993,14.5,14.75,1800.0,14.75,14.625,3.950428009033203
05-10-1993,14.625,14.625,100.0,14.625,14.625,3.950428009033203
06-10-1993,14.5,14.75,2300.0,14.75,14.625,3.950428009033203
07-10-1993,14.75,14.75,1100.0,14.75,14.75,3.984194755554199
08-10-1993,14.5,14.5,2300.0,14.5,14.5,3.93533992767334
11-10-1993,14.5,14.5,2200.0,14.5,14.5,3.93533992767334
12-10-1993,14.5,14.5,5700.0,14.625,14.625,3.969264030456543
13-10-1993,14.375,14.5,11300.0,14.625,14.375,3.9014170169830322
14-10-1993,14.375,14.5,1600.0,14.5,14.375,3.9014170169830322
15-10-1993,14.375,14.5,7100.0,14.5,14.375,3.9014170169830322
18-10-1993,14.375,14.375,6700.0,14.5,14.5,3.93533992767334
19-10-1993,14.375,14.5,5100.0,14.625,14.375,3.9014170169830322
20-10-1993,14.5,14.5,6100.0,14.625,14.5,3.93533992767334
21-10-1993,14.375,14.375,3400.0,14.5,14.5,3.93533992767334
22-10-1993,14.375,14.375,1900.0,14.625,14.625,3.969264030456543
25-10-1993,14.5,14.5,7900.0,14.625,14.5,3.93533992767334
26-10-1993,14.375,14.375,9000.0,14.625,14.625,3.969264030456543
27-10-1993,14.5,14.625,5300.0,14.75,14.5,3.93533992767334
28-10-1993,14.5,14.625,6200.0,14.625,14.5,3.93533992767334
29-10-1993,14.625,14.625,10500.0,14.75,14.75,4.003190994262695
01-11-1993,14.625,14.75,16800.0,14.75,14.75,4.003190994262695
02-11-1993,14.625,14.75,9600.0,14.875,14.75,4.003190994262695
03-11-1993,14.625,14.875,7200.0,14.875,14.625,3.969264030456543
04-11-1993,14.5,14.625,4300.0,14.75,14.625,3.969264030456543
05-11-1993,14.5,14.5,1500.0,14.5,14.5,3.93533992767334
08-11-1993,14.375,14.5,5500.0,14.5,14.5,3.95443058013916
09-11-1993,14.25,14.375,11300.0,14.5,14.375,3.920341730117798
10-11-1993,14.25,14.375,12900.0,14.375,14.375,3.920341730117798
11-11-1993,14.375,14.375,1700.0,14.5,14.5,3.95443058013916
12-11-1993,14.25,14.375,5200.0,14.375,14.25,3.8862550258636475
15-11-1993,14.25,14.25,4800.0,14.375,14.375,3.920341730117798
16-11-1993,14.125,14.25,9300.0,14.25,14.25,3.8862550258636475
17-11-1993,14.125,14.125,4000.0,14.25,14.125,3.8521623611450195
18-11-1993,14.0,14.0,8200.0,14.125,14.0,3.818071126937866
19-11-1993,13.875,13.875,4300.0,14.0,14.0,3.818071126937866
22-11-1993,13.75,13.875,18700.0,14.0,14.0,3.818071126937866
23-11-1993,13.75,13.875,10900.0,14.0,13.875,3.783982515335083
24-11-1993,13.875,14.0,2400.0,14.0,13.875,3.783982515335083
26-11-1993,13.75,13.75,4000.0,13.875,13.875,3.783982515335083
29-11-1993,13.875,13.875,1700.0,14.0,13.875,3.783982515335083
30-11-1993,13.875,13.875,11300.0,14.125,14.0,3.818071126937866
01-12-1993,14.0,14.25,7700.0,14.375,14.125,3.8521623611450195
02-12-1993,14.0,14.0,19000.0,14.25,14.25,3.8862550258636475
03-12-1993,14.0,14.125,6200.0,14.125,14.125,3.8521623611450195
06-12-1993,14.25,14.25,2700.0,14.375,14.375,3.920341730117798
07-12-1993,14.25,14.25,8500.0,14.375,14.375,3.920341730117798
08-12-1993,14.25,14.375,1300.0,14.375,14.375,3.920341730117798
09-12-1993,14.0,14.125,14400.0,14.5,14.25,3.9052670001983643
