Date,Low,Open,Volume,High,Close,Adjusted Close
23-04-2018,64679.1015625,64679.1015625,0.0,64679.1015625,64679.1015625,64679.1015625
24-04-2018,,,,,,
25-04-2018,,,,,,
26-04-2018,,,,,,
27-04-2018,,,,,,
30-04-2018,,,,,,
01-05-2018,,,,,,
02-05-2018,,,,,,
03-05-2018,,,,,,
04-05-2018,,,,,,
07-05-2018,,,,,,
08-05-2018,,,,,,
09-05-2018,61985.0,61985.0,0.0,61985.0,61985.0,61985.0
10-05-2018,,,,,,
11-05-2018,,,,,,
14-05-2018,,,,,,
15-05-2018,,,,,,
16-05-2018,,,,,,
17-05-2018,,,,,,
18-05-2018,,,,,,
21-05-2018,,,,,,
22-05-2018,,,,,,
23-05-2018,,,,,,
24-05-2018,,,,,,
25-05-2018,,,,,,
29-05-2018,,,,,,
30-05-2018,59990.1015625,59990.1015625,0.0,59990.1015625,59990.1015625,59990.1015625
31-05-2018,,,,,,
01-06-2018,,,,,,
04-06-2018,,,,,,
05-06-2018,,,,,,
06-06-2018,,,,,,
07-06-2018,,,,,,
08-06-2018,,,,,,
11-06-2018,,,,,,
12-06-2018,,,,,,
13-06-2018,,,,,,
14-06-2018,,,,,,
15-06-2018,,,,,,
18-06-2018,,,,,,
19-06-2018,,,,,,
20-06-2018,,,,,,
21-06-2018,,,,,,
22-06-2018,,,,,,
25-06-2018,,,,,,
26-06-2018,,,,,,
27-06-2018,,,,,,
28-06-2018,,,,,,
29-06-2018,,,,,,
02-07-2018,,,,,,
03-07-2018,,,,,,
05-07-2018,,,,,,
06-07-2018,,,,,,
09-07-2018,,,,,,
10-07-2018,,,,,,
11-07-2018,,,,,,
12-07-2018,,,,,,
13-07-2018,,,,,,
16-07-2018,,,,,,
17-07-2018,,,,,,
18-07-2018,,,,,,
19-07-2018,,,,,,
20-07-2018,,,,,,
23-07-2018,,,,,,
24-07-2018,,,,,,
25-07-2018,,,,,,
26-07-2018,66742.296875,66742.296875,0.0,66742.296875,66742.296875,66742.296875
27-07-2018,,,,,,
30-07-2018,,,,,,
31-07-2018,,,,,,
01-08-2018,,,,,,
02-08-2018,,,,,,
03-08-2018,,,,,,
06-08-2018,,,,,,
07-08-2018,,,,,,
08-08-2018,,,,,,
09-08-2018,,,,,,
10-08-2018,,,,,,
13-08-2018,,,,,,
14-08-2018,,,,,,
15-08-2018,,,,,,
16-08-2018,,,,,,
17-08-2018,,,,,,
20-08-2018,,,,,,
21-08-2018,,,,,,
22-08-2018,,,,,,
23-08-2018,,,,,,
24-08-2018,,,,,,
27-08-2018,,,,,,
28-08-2018,67708.203125,67708.203125,0.0,67708.203125,67708.203125,67708.203125
29-08-2018,67929.5,67929.5,0.0,67929.5,67929.5,67929.5
30-08-2018,67206.203125,67206.203125,0.0,67206.203125,67206.203125,67206.203125
31-08-2018,67063.5,67063.5,0.0,67063.5,67063.5,67063.5
04-09-2018,66165.3984375,66165.3984375,0.0,66165.3984375,66165.3984375,66165.3984375
05-09-2018,65774.5,65774.5,0.0,65774.5,65774.5,65774.5
06-09-2018,65932.203125,65932.203125,0.0,65932.203125,65932.203125,65932.203125
07-09-2018,66283.1015625,66283.1015625,0.0,66283.1015625,66283.1015625,66283.1015625
10-09-2018,66117.5,66117.5,0.0,66117.5,66117.5,66117.5
11-09-2018,66181.1015625,66181.1015625,0.0,66181.1015625,66181.1015625,66181.1015625
12-09-2018,66667.296875,66667.296875,0.0,66667.296875,66667.296875,66667.296875
13-09-2018,67260.5,67260.5,0.0,67260.5,67260.5,67260.5
14-09-2018,67150.3984375,67150.3984375,0.0,67150.3984375,67150.3984375,67150.3984375
17-09-2018,66861.703125,66861.703125,0.0,66861.703125,66861.703125,66861.703125
18-09-2018,67218.0,67218.0,0.0,67218.0,67218.0,67218.0
19-09-2018,67121.796875,67121.796875,0.0,67121.796875,67121.796875,67121.796875
20-09-2018,67013.5,67013.5,0.0,67013.5,67013.5,67013.5
21-09-2018,66788.203125,66788.203125,0.0,66788.203125,66788.203125,66788.203125
24-09-2018,66886.8984375,66886.8984375,0.0,66886.8984375,66886.8984375,66886.8984375
25-09-2018,67204.1015625,67204.1015625,0.0,67204.1015625,67204.1015625,67204.1015625
26-09-2018,67142.5,67142.5,0.0,67142.5,67142.5,67142.5
27-09-2018,67197.796875,67197.796875,0.0,67197.796875,67197.796875,67197.796875
28-09-2018,67004.6015625,67004.6015625,0.0,67004.6015625,67004.6015625,67004.6015625
01-10-2018,67461.1015625,67461.1015625,0.0,67461.1015625,67461.1015625,67461.1015625
02-10-2018,66844.0,66844.0,0.0,66844.0,66844.0,66844.0
03-10-2018,66341.6015625,66341.6015625,0.0,66341.6015625,66341.6015625,66341.6015625
04-10-2018,65905.6015625,65905.6015625,0.0,65905.6015625,65905.6015625,65905.6015625
05-10-2018,65052.1015625,65052.1015625,0.0,65052.1015625,65052.1015625,65052.1015625
08-10-2018,65106.6015625,65106.6015625,0.0,65106.6015625,65106.6015625,65106.6015625
09-10-2018,65664.5,65664.5,0.0,65664.5,65664.5,65664.5
10-10-2018,65166.6015625,65166.6015625,0.0,65166.6015625,65166.6015625,65166.6015625
11-10-2018,64384.19921875,64384.19921875,0.0,64384.19921875,64384.19921875,64384.19921875
12-10-2018,64234.3984375,64234.3984375,0.0,64234.3984375,64234.3984375,64234.3984375
15-10-2018,64633.8984375,64633.8984375,0.0,64633.8984375,64633.8984375,64633.8984375
16-10-2018,65246.5,65246.5,0.0,65246.5,65246.5,65246.5
17-10-2018,64835.3984375,64835.3984375,0.0,64835.3984375,64835.3984375,64835.3984375
18-10-2018,63666.30078125,63666.30078125,0.0,63666.30078125,63666.30078125,63666.30078125
19-10-2018,64225.5,64225.5,0.0,64225.5,64225.5,64225.5
22-10-2018,63582.80078125,63582.80078125,0.0,63582.80078125,63582.80078125,63582.80078125
23-10-2018,62887.30078125,62887.30078125,0.0,62887.30078125,62887.30078125,62887.30078125
24-10-2018,62223.8984375,62223.8984375,0.0,62223.8984375,62223.8984375,62223.8984375
25-10-2018,62652.6015625,62652.6015625,0.0,62652.6015625,62652.6015625,62652.6015625
26-10-2018,62013.1015625,62013.1015625,0.0,62013.1015625,62013.1015625,62013.1015625
29-10-2018,59407.8984375,59407.8984375,0.0,59407.8984375,59407.8984375,59407.8984375
30-10-2018,58965.5,58965.5,0.0,58965.5,58965.5,58965.5
31-10-2018,59513.19921875,59513.19921875,0.0,59513.19921875,59513.19921875,59513.19921875
01-11-2018,61625.5,61625.5,0.0,61625.5,61625.5,61625.5
02-11-2018,,,,,,
05-11-2018,63483.8984375,63483.8984375,0.0,63483.8984375,63483.8984375,63483.8984375
06-11-2018,62820.80078125,62820.80078125,0.0,62820.80078125,62820.80078125,62820.80078125
07-11-2018,63619.6015625,63619.6015625,0.0,63619.6015625,63619.6015625,63619.6015625
08-11-2018,60003.80078125,60003.80078125,0.0,60003.80078125,60003.80078125,60003.80078125
09-11-2018,60103.6015625,60103.6015625,0.0,60103.6015625,60103.6015625,60103.6015625
12-11-2018,58808.6015625,58808.6015625,0.0,58808.6015625,58808.6015625,58808.6015625
13-11-2018,57601.8984375,57601.8984375,0.0,57601.8984375,57601.8984375,57601.8984375
14-11-2018,57496.80078125,57496.80078125,0.0,57496.80078125,57496.80078125,57496.80078125
15-11-2018,56314.69921875,56314.69921875,0.0,56314.69921875,56314.69921875,56314.69921875
16-11-2018,,,,,,
19-11-2018,,,,,,
20-11-2018,56787.80078125,56787.80078125,0.0,56787.80078125,56787.80078125,56787.80078125
21-11-2018,56451.0,56451.0,0.0,56451.0,56451.0,56451.0
