Date,Low,Open,Volume,High,Close,Adjusted Close
17-11-1995,8.09375,8.125,35659200,8.71875,8.625,6.67894172668457
20-11-1995,8.1875,8.59375,8434000,8.8125,8.3125,6.436952114105225
21-11-1995,7.9375,8.25,6440000,8.28125,8.15625,6.315955638885498
22-11-1995,8.125,8.125,3480800,8.53125,8.40625,6.509549140930176
24-11-1995,8.4375,8.46875,1279200,8.71875,8.71875,6.751540184020996
27-11-1995,8.625,8.71875,2403200,8.90625,8.75,6.77573823928833
28-11-1995,8.5,8.75,1054800,8.78125,8.625,6.67894172668457
29-11-1995,8.5625,8.59375,1331200,8.96875,8.75,6.77573823928833
30-11-1995,8.8125,8.84375,2426000,9.1875,9.09375,7.041930198669434
01-12-1995,8.9375,9.09375,978400,9.125,9.0,6.969329833984375
04-12-1995,8.84375,9.03125,594000,9.09375,8.90625,6.896732807159424
05-12-1995,8.625,8.90625,1148800,8.90625,8.78125,6.799936771392822
06-12-1995,8.75,8.75,1216000,9.0,8.8125,6.8241376876831055
07-12-1995,8.6875,8.875,641200,8.90625,8.75,6.77573823928833
08-12-1995,8.625,8.71875,668800,8.96875,8.96875,6.94513463973999
11-12-1995,8.96875,9.0,660000,9.09375,9.09375,7.041930198669434
12-12-1995,8.71875,9.03125,971600,9.0625,8.75,6.77573823928833
13-12-1995,8.53125,8.8125,528400,8.8125,8.6875,6.727341651916504
14-12-1995,8.4375,8.71875,639200,8.71875,8.4375,6.533749103546143
15-12-1995,8.34375,8.5,1366400,8.5625,8.375,6.485351085662842
18-12-1995,8.25,8.375,741600,8.40625,8.28125,6.4127516746521
19-12-1995,8.21875,8.25,643600,8.53125,8.4375,6.533749103546143
20-12-1995,8.46875,8.46875,360400,8.6875,8.625,6.67894172668457
21-12-1995,8.5625,8.59375,301600,8.78125,8.6875,6.727341651916504
22-12-1995,8.625,8.71875,208400,8.75,8.75,6.77573823928833
26-12-1995,8.5,8.71875,240000,8.71875,8.53125,6.606345176696777
27-12-1995,8.625,8.625,351600,8.84375,8.84375,6.848336696624756
28-12-1995,8.78125,8.875,344400,8.90625,8.8125,6.8241376876831055
29-12-1995,8.65625,8.78125,219200,8.84375,8.71875,6.751540184020996
02-01-1996,8.65625,8.71875,169200,8.78125,8.75,6.77573823928833
03-01-1996,8.65625,8.78125,682000,8.9375,8.71875,6.751540184020996
04-01-1996,8.53125,8.75,414800,8.8125,8.65625,6.703140735626221
05-01-1996,8.28125,8.53125,773600,8.59375,8.4375,6.533749103546143
08-01-1996,8.375,8.4375,48800,8.46875,8.46875,6.557949066162109
09-01-1996,8.375,8.5,864000,8.5,8.375,6.485351085662842
