Date,Low,Open,Volume,High,Close,Adjusted Close
12-06-1997,30.875,32.125,19963800,33.0,31.5,25.97511863708496
13-06-1997,31.75,31.75,3661100,32.875,32.375,26.696659088134766
16-06-1997,30.625,32.25,2481700,32.5,30.875,25.459741592407227
17-06-1997,29.125,30.125,2283800,30.25,29.75,24.53204917907715
18-06-1997,28.125,29.75,1749900,29.75,28.375,23.398223876953125
19-06-1997,28.25,28.5,1269900,29.625,29.375,24.222837448120117
20-06-1997,29.375,29.5,859100,30.25,29.5,24.32590675354004
23-06-1997,28.125,29.875,725000,29.875,28.25,23.295148849487305
24-06-1997,27.125,28.5,1212100,29.625,28.875,23.81052589416504
25-06-1997,28.125,29.125,726600,29.125,28.6875,23.65591049194336
26-06-1997,27.625,28.125,534500,28.5,28.25,23.295148849487305
27-06-1997,27.1875,28.125,441500,28.375,27.25,22.470539093017578
30-06-1997,26.25,27.125,796900,27.625,27.375,22.573619842529297
01-07-1997,26.5,27.25,621300,27.3125,26.9375,22.21285057067871
02-07-1997,26.625,26.9375,818700,27.9375,27.8125,22.934383392333984
03-07-1997,26.75,27.5625,696800,28.1875,28.0625,23.14052963256836
07-07-1997,27.0,28.5,1180500,28.625,27.125,22.367464065551758
08-07-1997,27.125,27.25,595000,27.6875,27.6875,22.831308364868164
09-07-1997,26.375,27.6875,958000,27.6875,26.625,21.95516586303711
10-07-1997,25.125,26.25,1069200,26.3125,25.5,21.027475357055664
11-07-1997,25.375,25.625,674600,26.125,25.9375,21.38823890686035
14-07-1997,25.4375,26.1875,471200,26.25,25.6875,21.18210220336914
15-07-1997,25.0,25.3125,513000,25.5625,25.4375,20.975942611694336
16-07-1997,23.75,25.5625,899600,25.5625,23.8125,19.635957717895508
17-07-1997,23.9375,24.0,1286200,26.25,26.0625,21.491321563720703
18-07-1997,25.3125,26.125,346200,26.5,25.875,21.33670425415039
21-07-1997,25.0,25.8125,216600,25.8125,25.3125,20.872859954833984
22-07-1997,25.125,25.125,351200,25.875,25.625,21.130552291870117
23-07-1997,25.0,25.625,507100,26.125,25.0,20.61517906188965
24-07-1997,24.25,25.0,412800,25.75,24.625,20.305936813354492
25-07-1997,24.1875,24.875,253000,25.0,24.625,20.305936813354492
28-07-1997,24.375,24.875,953700,25.4375,25.25,20.821321487426758
29-07-1997,25.5,25.5,1028100,26.6875,26.6875,22.006702423095703
30-07-1997,26.6875,26.8125,801700,27.9375,27.75,22.882848739624023
31-07-1997,26.6875,27.875,458400,28.0,26.8125,22.109773635864258
01-08-1997,26.25,26.3125,250100,27.0,26.625,21.95516586303711
04-08-1997,26.25,26.375,629700,27.875,27.625,22.779775619506836
05-08-1997,26.5,28.125,1157400,28.4375,27.0625,22.31592559814453
06-08-1997,26.25,27.0625,350500,27.125,26.5,21.852081298828125
07-08-1997,25.75,26.5,456200,26.6875,25.75,21.23363494873047
08-08-1997,24.75,25.5,576100,25.6875,25.25,20.821321487426758
11-08-1997,24.5,25.375,370400,25.375,24.75,20.409025192260742
12-08-1997,24.3125,25.0,910300,25.4375,24.3125,20.048248291015625
13-08-1997,23.8125,24.5,416500,25.1875,24.375,20.099802017211914
14-08-1997,23.9375,24.625,309000,24.75,24.0,19.79056167602539
15-08-1997,22.875,24.0,1385300,24.0,23.0625,19.017494201660156
18-08-1997,22.9375,23.5625,551500,23.6875,23.5,19.37826156616211
19-08-1997,23.375,23.375,380800,24.25,24.25,19.996715545654297
20-08-1997,24.6875,24.875,621500,25.625,25.625,21.130552291870117
21-08-1997,24.5,25.375,479600,25.5625,24.75,20.409025192260742
22-08-1997,24.0,24.125,408100,24.625,24.5,20.20287322998047
25-08-1997,24.1875,25.0,230200,25.0625,24.3125,20.048248291015625
26-08-1997,24.125,24.25,296300,24.9375,24.6875,20.357484817504883
27-08-1997,24.25,24.9375,619500,25.0,24.5,20.20287322998047
28-08-1997,24.375,24.5,492400,25.375,25.3125,20.872859954833984
29-08-1997,25.25,25.3125,686100,26.875,26.25,21.64592933654785
02-09-1997,25.5,26.375,414700,26.4375,26.25,21.64592933654785
03-09-1997,26.0,26.25,265000,26.375,26.0625,21.491321563720703
04-09-1997,25.5,26.0,237400,26.3125,25.75,21.23363494873047
05-09-1997,25.5625,26.25,151100,26.4375,25.875,21.33670425415039
08-09-1997,25.3125,25.75,91200,26.0,25.375,20.924392700195312
09-09-1997,24.625,25.25,318400,25.5,24.875,20.51209831237793
